dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,12.300457,10.672345,4.031319,2.045210,8.752682,3.223195,1.129794,0.146676,6.854193,0.820455
cuda,AlbertForQuestionAnswering,4,12.221948,10.626257,4.023415,2.008197,8.704853,3.206142,1.124892,0.141867,6.777419,0.433112
cuda,AllenaiLongformerBase,4,113.674830,106.566801,89.404013,7.511557,95.663780,73.453571,4.885098,0.413821,0.659253,14.094525
cuda,BartForCausalLM,4,14.876926,13.291590,6.348573,2.250860,9.357358,2.840885,1.667343,0.275407,2.357191,5.599213
cuda,BartForConditionalGeneration,2,37.821551,33.427341,14.638779,5.846483,20.120172,8.826851,3.523264,1.065576,1.162769,11.570587
cuda,BertForMaskedLM,16,14.536212,12.528692,5.280436,2.099347,8.051806,3.578112,1.499784,0.295305,4.968812,1.412674
cuda,BertForQuestionAnswering,16,14.947531,12.812076,5.309609,2.126964,7.965162,3.587134,1.499514,0.296474,4.880690,1.003050
cuda,BlenderbotForCausalLM,4,25.093751,21.888173,8.501532,4.729147,15.032821,7.118842,2.928071,0.830498,11.448534,4.005929
cuda,BlenderbotSmallForCausalLM,64,9.703214,8.639971,3.855873,1.751035,6.236077,2.111689,1.058877,0.176517,4.196256,2.477863
cuda,BlenderbotSmallForConditionalGeneration,64,24.324694,21.472416,9.338713,3.743664,13.792879,6.142457,2.495472,0.606333,1.858763,8.377968
cuda,CamemBert,16,14.486930,12.415044,5.250504,2.099897,8.024831,3.559679,1.500160,0.302039,4.974002,0.340301
cuda,DebertaForMaskedLM,4,30.271604,24.427332,15.609767,3.356149,20.134122,5.195083,2.283138,0.347855,0.911931,8.107160
cuda,DebertaForQuestionAnswering,8,29.813021,24.170173,15.322723,3.413590,19.765590,5.440687,2.262984,0.345104,1.785430,8.081797
cuda,DebertaV2ForMaskedLM,1,43.984026,33.752358,18.697141,3.738792,24.839440,6.530369,3.357833,0.616001,1.495013,10.250606
cuda,DebertaV2ForQuestionAnswering,2,42.883145,33.286210,17.997726,4.810787,23.653924,7.226061,3.738990,0.607608,0.570806,10.829689
cuda,DistilBertForMaskedLM,128,8.105377,7.296758,3.346847,1.106400,5.687103,2.052683,0.818015,0.127360,3.499675,1.141921
cuda,DistilBertForQuestionAnswering,256,8.238452,7.425166,3.404733,1.108413,5.577766,2.074069,0.808131,0.121656,3.331946,0.549950
cuda,DistillGPT2,16,8.777021,7.849018,4.364861,1.203819,6.340136,1.884155,0.783820,0.111886,2.361547,3.227170
cuda,ElectraForCausalLM,32,16.878284,14.729932,7.226875,2.159611,10.965914,3.799415,1.598166,0.305785,2.532025,6.000475
cuda,ElectraForQuestionAnswering,64,14.517846,12.433913,5.309748,2.064600,8.052341,3.564218,1.497977,0.291505,4.904490,1.271075
cuda,GPT2ForSequenceClassification,4,13.573588,11.775301,5.509516,2.350426,8.380269,3.490130,1.451337,0.255708,5.555731,1.406832
cuda,LayoutLMForMaskedLM,16,14.869670,12.518987,5.222926,2.124885,8.122312,3.681652,1.521161,0.298647,5.123395,1.428729
cuda,LayoutLMForSequenceClassification,16,14.794536,12.473767,5.257031,2.126999,9.722528,4.559342,1.756046,0.294402,6.695755,5.602555
cuda,M2M100ForConditionalGeneration,16,35.552394,31.317245,13.876510,5.902449,22.388014,8.644362,4.066725,0.864935,12.078822,14.666012
cuda,MBartForCausalLM,4,15.387395,13.847227,7.002361,2.085379,10.352025,3.287585,1.435284,0.287957,2.272209,5.724377
cuda,MBartForConditionalGeneration,2,35.455713,31.266883,13.514357,6.510453,20.264601,8.679896,4.418338,1.150606,0.572971,13.509872
cuda,MT5ForConditionalGeneration,16,25.258744,21.343752,9.269612,3.999967,15.890575,6.123154,2.672661,0.472456,19.718865,10.815664
cuda,MegatronBertForCausalLM,4,27.664144,23.849633,9.887077,4.851143,14.808206,7.511747,3.021574,0.848791,9.969798,0.397437
