suite,name,issue,08-21,08-22
torchbench,BERT_pytorch,,pass,pass
torchbench,Background_Matting,,inductor,inductor
torchbench,LearningToPaint,,pass,pass
torchbench,Super_SloMo,,aot,aot
torchbench,alexnet,,pass,pass
torchbench,attention_is_all_you_need_pytorch,,pass,pass
torchbench,dcgan,,pass,pass
torchbench,demucs,,inductor,inductor
torchbench,densenet121,,pass,pass
torchbench,detectron2_maskrcnn,,aot,aot
torchbench,dlrm,,aot,aot
torchbench,drq,,pass,pass
torchbench,fambench_xlmr,,aot,aot
torchbench,fastNLP_Bert,,pass,pass
torchbench,hf_Albert,,pass,pass
torchbench,hf_Bart,,pass,pass
torchbench,hf_Bert,,pass,pass
torchbench,hf_BigBird,,inductor,inductor
torchbench,hf_DistilBert,,pass,pass
torchbench,hf_GPT2,,pass,pass
torchbench,hf_Longformer,,inductor,inductor
torchbench,hf_Reformer,,aot,aot
torchbench,hf_T5,,pass,pass
torchbench,maml,,aot,aot
torchbench,maml_omniglot,,pass,pass
torchbench,mnasnet1_0,,pass,pass
torchbench,mobilenet_v2,,pass,pass
torchbench,mobilenet_v2_quantized_qat,,inductor,inductor
torchbench,mobilenet_v3_large,,pass,pass
torchbench,moco,,inductor,inductor
torchbench,nvidia_deeprecommender,,pass,pass
torchbench,opacus_cifar10,,aot,aot
torchbench,pyhpc_equation_of_state,,aot,aot
torchbench,pyhpc_isoneutral_mixing,,aot,aot
torchbench,pyhpc_turbulent_kinetic_energy,,aot,aot
torchbench,pytorch_CycleGAN_and_pix2pix,,pass,pass
torchbench,pytorch_stargan,,pass,pass
torchbench,pytorch_struct,,pass,pass
torchbench,pytorch_unet,,pass,pass
torchbench,resnet18,,pass,pass
torchbench,resnet50,,pass,pass
torchbench,resnet50_quantized_qat,,inductor,inductor
torchbench,resnext50_32x4d,,pass,pass
torchbench,shufflenet_v2_x1_0,,pass,pass
torchbench,soft_actor_critic,,pass,pass
torchbench,speech_transformer,,inductor,inductor
torchbench,squeezenet1_1,,pass,pass
torchbench,tacotron2,,aot,aot
torchbench,timm_efficientdet,,pass,inductor
torchbench,timm_efficientnet,,pass,pass
torchbench,timm_nfnet,,pass,pass
torchbench,timm_regnet,,pass,pass
torchbench,timm_resnest,,pass,pass
torchbench,timm_vision_transformer,,pass,pass
torchbench,timm_vovnet,,pass,inductor
