dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.226007,3.711567,2.560279,8.136222,2.568300,1.420649,0.146351,1.277710,8.353452,0.797488
cuda,AlbertForQuestionAnswering,4,2.244183,3.705272,2.463347,8.215462,2.557515,1.418167,0.141253,0.907022,7.970087,0.412839
cuda,BartForCausalLM,4,2.317754,6.344524,2.789421,9.236329,3.131436,1.714126,0.251766,1.505803,1.703777,7.291295
cuda,BartForConditionalGeneration,2,6.312128,14.515646,8.435579,19.823799,9.116343,3.560394,1.018579,1.238937,1.173528,15.257100
cuda,BertForMaskedLM,64,2.915330,5.390816,3.255381,7.669099,3.447582,1.468053,0.287098,1.735548,7.380675,1.413416
cuda,BertForQuestionAnswering,128,2.833562,5.341299,3.128213,7.651621,2.983391,1.832226,0.279612,1.121787,6.669097,0.786314
cuda,BlenderbotSmallForCausalLM,64,1.540975,3.805214,1.840516,6.198798,2.288171,0.996751,0.160119,3.017757,7.322858,2.662734
cuda,BlenderbotSmallForConditionalGeneration,64,4.247014,9.093849,5.154436,13.191885,6.093331,2.491965,0.580795,2.238913,1.955262,11.673174
cuda,CamemBert,1,2.890412,4.989019,2.661057,7.026372,2.739433,1.301270,0.264106,1.345389,6.153877,1.033588
cuda,DebertaForMaskedLM,4,6.874333,14.751728,3.739279,18.405085,4.614224,2.225817,0.340408,20.002913,0.939925,27.658268
cuda,DebertaForQuestionAnswering,8,6.847745,17.063012,3.646167,20.641838,4.571692,2.218343,0.339528,21.086253,1.834265,28.568825
cuda,DistilBertForMaskedLM,64,1.226894,3.188173,1.511319,4.780593,1.633611,0.784100,0.119851,1.782174,4.944757,1.474950
cuda,DistilBertForQuestionAnswering,64,1.223115,3.188990,1.458522,4.671934,1.629745,0.781434,0.118967,1.335848,4.335314,1.037434
cuda,DistillGPT2,1,1.279570,3.100256,1.006282,4.939371,1.566927,0.657608,0.102562,3.886904,6.781923,3.601380
cuda,ElectraForCausalLM,32,2.989656,7.151212,3.294370,9.808552,3.235111,1.562717,0.285983,3.701921,2.945392,9.771601
cuda,ElectraForQuestionAnswering,64,2.930377,5.394078,3.215970,7.615988,3.439431,1.481147,0.289729,1.618460,7.168305,1.278260
cuda,GPT2ForSequenceClassification,4,2.555633,5.099251,2.387904,7.585009,3.015729,1.357697,0.239372,1.880698,6.857444,1.415948
cuda,LayoutLMForMaskedLM,16,3.266108,5.506166,3.033096,8.112352,3.460687,1.814613,0.288155,1.874138,7.627188,1.433369
cuda,LayoutLMForSequenceClassification,16,3.325581,5.767508,2.980598,9.398444,4.149996,1.735414,0.286429,6.030318,12.982254,5.510961
cuda,M2M100ForConditionalGeneration,8,6.217172,12.870921,5.804525,20.336536,7.966816,3.426441,0.797412,5.047135,16.892283,18.760983
cuda,MBartForCausalLM,32,2.276468,6.946346,3.031271,10.337165,3.714861,1.482329,0.283616,1.619931,1.637007,8.148519
cuda,MBartForConditionalGeneration,16,6.754843,13.574557,9.084778,20.457908,9.930257,3.900623,1.196057,1.503802,0.581257,17.752517
cuda,MT5ForConditionalGeneration,8,5.285408,8.362579,5.465796,13.650661,5.759074,2.135081,0.459252,4.656186,15.593528,3.886645
cuda,MegatronBertForCausalLM,16,5.725427,10.154092,7.568625,14.381405,7.266526,3.016597,0.832795,2.220874,14.246845,1.225769
cuda,MegatronBertForQuestionAnswering,16,5.739163,10.096079,7.031049,14.674297,7.172829,2.980059,0.813578,1.668947,13.503659,0.722049
cuda,MobileBertForMaskedLM,32,13.817744,10.723885,10.336199,21.729765,11.312586,4.985225,2.569719,4.262960,25.989767,2.290892
cuda,MobileBertForQuestionAnswering,64,13.747590,10.807868,10.134028,21.689677,11.240602,4.991199,2.542095,3.121371,24.519819,1.283078
cuda,OPTForCausalLM,32,2.387866,6.014217,2.318205,9.432638,3.476159,1.915000,0.261485,1.540395,2.598152,7.371795
cuda,PLBartForCausalLM,32,1.229465,4.675991,1.472157,6.603320,1.630775,0.784404,0.113652,1.508885,1.800812,5.129924
cuda,PLBartForConditionalGeneration,16,3.151339,7.727115,3.856806,11.746426,4.460987,1.973012,0.388710,2.409933,2.537923,10.425404
cuda,PegasusForCausalLM,32,2.504718,6.630453,2.970578,10.339713,3.676384,1.498277,0.281467,2.115695,1.837731,8.907095
cuda,PegasusForConditionalGeneration,16,6.061651,12.758063,7.406483,20.162143,8.920781,3.802415,0.827418,2.966892,1.060599,18.052370
cuda,RobertaForCausalLM,64,3.088211,6.245954,3.345623,8.336924,3.594143,1.502864,0.290520,0.689488,0.715533,6.237275
cuda,RobertaForQuestionAnswering,128,2.916334,5.455343,3.222471,7.346618,3.065839,1.875086,0.283984,0.367711,5.593275
cuda,Speech2Text2ForCausalLM,128,1.292194,5.196615,1.047892,7.686428,1.675917,0.742494,0.110331,2.011575,1.838526,5.600280
cuda,T5ForConditionalGeneration,4,3.531736,7.372461,3.078237,10.716371,3.985864,1.569213,0.287832,2.031380,5.471210,8.579547
cuda,T5Small,1,3.544839,6.754941,2.565615,9.660663,3.322912,1.337964,0.266748,4.074363,8.676366,9.669514
cuda,TrOCRForCausalLM,32,2.336076,6.248524,2.878174,9.439810,3.630145,1.443706,0.264251,1.383929,1.583714,7.560196
cuda,XGLMForCausalLM,8,5.211419,12.006832,7.473526,17.990104,7.800901,2.987343,0.749877,4.478423,30.961373,18.170599
cuda,YituTechConvBert,1,4.216904,8.257069,4.472122,13.050194,5.138139,1.937495,0.440455,5.393863,16.880914,15.105522
