dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,2,1.987044,3.428763,1.914386,7.955786,3.202251,1.073470,0.145012,6.529886
cuda,AlbertForQuestionAnswering,2,1.997636,3.576112,1.863038,6.050353,3.181078,1.072632,0.143429,4.425655
cuda,BartForCausalLM,2,2.096286,4.464410,2.253855,6.852841,2.852171,1.635042,0.262812,4.744999
cuda,BartForConditionalGeneration,1,5.783666,9.381039,4.881863,14.306782,7.745510,2.795459,0.981096,10.768241
cuda,BertForMaskedLM,64,2.671745,6.359748,2.406376,8.505746,3.871981,1.423675,0.285167,4.659772
cuda,BertForQuestionAnswering,64,2.942351,4.816991,2.347545,7.079799,3.832141,1.411373,0.277838,4.716825
cuda,BigBird,1,10.950944,6.451585,1.921397,8.778393,2.728024,1.242383,0.216007,4.361370
cuda,BlenderbotSmallForCausalLM,64,1.449088,3.313403,1.848763,5.049191,2.020769,0.947773,0.159835,3.658241
cuda,BlenderbotSmallForConditionalGeneration,32,3.969212,6.942928,4.030890,11.176512,5.770264,2.399691,0.599276,8.927113
cuda,CamemBert,1,2.752541,5.956793,2.091914,8.119311,3.558634,1.251109,0.264288,4.361725
cuda,DebertaForMaskedLM,4,6.712703,11.889167,3.554484,15.164564,5.396572,2.417768,0.341213,7.058942
cuda,DebertaForQuestionAnswering,4,6.679381,11.183731,4.214391,13.169043,4.990097,2.145525,0.334363,6.427136
cuda,DistilBertForMaskedLM,16,1.115515,3.745024,1.392737,4.963814,1.986798,0.762284,0.120081,2.667868
cuda,DistilBertForQuestionAnswering,32,1.137856,3.542843,1.320277,4.764227,1.920080,0.756616,0.116607,2.598243
cuda,DistillGPT2,1,1.189223,3.212188,0.919124,4.754917,1.555844,0.624277,0.099276,2.511562
cuda,ElectraForCausalLM,1,2.745383,6.153245,2.105074,8.416203,3.571260,1.269009,0.269039,4.478504
cuda,ElectraForQuestionAnswering,64,2.803430,6.410032,2.384230,8.704125,3.891796,1.444155,0.286001,4.786048
cuda,GPT2ForSequenceClassification,4,2.675453,6.170942,2.746118,7.720933,2.933888,1.339709,0.232492,4.396178
cuda,LayoutLMForMaskedLM,16,2.909056,6.392098,2.469902,8.751565,3.973093,1.440696,0.292248,4.940200
cuda,LayoutLMForSequenceClassification,16,3.073407,6.134305,2.395944,9.291951,4.552195,1.676394,0.285351,5.661223
cuda,M2M100ForConditionalGeneration,2,5.910909,9.932183,5.603500,17.882794,8.055967,3.616489,0.804400,13.799453
cuda,MBartForCausalLM,16,2.253877,4.535905,2.432767,7.460280,3.809780,1.457430,0.275835,5.461877
cuda,MBartForConditionalGeneration,8,5.955443,10.101480,6.067512,16.734706,8.895366,3.389491,1.128061,13.682150
cuda,MT5ForConditionalGeneration,2,4.706211,11.452155,4.149169,15.121148,5.929119,2.072326,0.431626,7.998792
cuda,MegatronBertForCausalLM,2,5.633528,13.918581,5.468303,18.736351,7.959455,2.886368,0.782043,10.508940
cuda,MegatronBertForQuestionAnswering,8,5.426021,13.375710,5.176960,17.477797,7.715775,2.654508,0.745354,9.501180
cuda,MobileBertForMaskedLM,16,12.643342,13.399013,6.318614,24.862488,11.038070,4.804760,2.616318,18.154894
cuda,MobileBertForQuestionAnswering,32,12.627805,13.298905,6.258840,24.484357,11.090656,4.830690,2.584125,17.819229
cuda,OPTForCausalLM,4,2.200406,4.846844,2.245430,7.093967,3.160451,1.469505,0.258878,4.587420
cuda,PLBartForCausalLM,16,1.132507,3.003775,1.305901,4.442212,1.626042,0.744832,0.112719,2.798672
cuda,PLBartForConditionalGeneration,8,3.108944,6.033468,2.966783,9.277903,4.484513,2.236519,0.394022,6.663035
cuda,PegasusForCausalLM,8,2.349901,5.175391,2.380543,8.068241,3.398408,1.663897,0.262469,5.381868
cuda,PegasusForConditionalGeneration,4,6.003120,10.224203,5.561851,17.509663,8.117451,4.424686,0.787755,13.110520
cuda,RobertaForCausalLM,4,2.762238,6.575028,2.563552,8.648654,3.976106,1.460353,0.285644,4.745250
cuda,RobertaForQuestionAnswering,64,2.767516,4.967848,2.357870,7.000638,3.825248,1.416433,0.282470,4.496226
cuda,Speech2Text2ForCausalLM,64,1.335915,3.614614,0.906045,5.531111,1.680212,0.711083,0.112168,2.872902
cuda,T5ForConditionalGeneration,4,3.198320,8.310086,2.743802,10.294029,3.867402,1.509082,0.282704,5.230679
cuda,T5Small,1,3.318747,7.697095,2.685252,9.596151,3.437201,1.278961,0.257376,4.709864
cuda,TrOCRForCausalLM,8,2.136385,4.297812,2.245549,6.580247,2.861539,1.622025,0.257038,4.630928
cuda,XGLMForCausalLM,1,4.666970,8.820932,5.165347,13.977983,5.880832,2.425588,0.651903,10.539515
cuda,XLNetLMHeadModel,4,5.772254,20.131410,5.733176,24.514177,9.256146,3.340520,0.854934,10.432617
cuda,YituTechConvBert,1,4.167562,7.877893,4.316898,10.073018,4.636265,1.921708,0.457716,6.675295
