dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,1.608591,3.225615,1.627224,7.628805,3.067977,0.984615,0.146276,6.106186,1.484001
cuda,AlbertForQuestionAnswering,4,1.618031,3.194586,1.572284,7.789567,3.027169,0.964503,0.141901,6.241549,1.064839
cuda,BartForCausalLM,4,1.656370,5.962882,1.817939,8.972821,3.367663,1.130353,0.227302,1.167501,4.911052
cuda,BartForConditionalGeneration,2,4.542809,13.916620,4.517007,19.982476,8.855515,2.837545,0.862170,2.466454,10.798514
cuda,BertForMaskedLM,64,2.270251,6.335987,1.898911,9.521573,3.435444,1.219152,0.255332,5.171999,2.100665
cuda,BertForQuestionAnswering,128,2.245755,6.218807,1.842682,9.340672,3.379895,1.212503,0.256044,5.053960,1.286910
cuda,BigBird,1,9.637947,5.246535,1.429006,9.307086,2.048099,0.935930,0.192790,5.584948,0.399181
cuda,BlenderbotSmallForCausalLM,64,1.145722,3.338109,1.513383,5.871472,2.049525,0.840691,0.154595,4.107437,2.100106
cuda,BlenderbotSmallForConditionalGeneration,64,3.056437,8.464374,3.127653,13.124222,5.478664,2.028358,0.518266,2.813145,7.933523
cuda,CamemBert,1,2.209508,6.052886,1.614867,8.531545,3.154319,1.110404,0.250083,4.181450,0.565734
cuda,DebertaForMaskedLM,4,6.315319,13.139709,2.785897,16.981186,4.803294,1.968686,0.305803,0.830775,6.821042
cuda,DebertaForQuestionAnswering,8,6.049989,12.754834,2.968994,16.688820,4.079220,1.956681,0.300804,1.773491,7.096766
cuda,DistilBertForMaskedLM,64,0.842912,3.294788,1.063168,5.627246,1.719604,0.641248,0.111975,3.440774,2.101186
cuda,DistilBertForQuestionAnswering,64,0.876147,3.264321,1.020890,5.451190,1.686983,0.631893,0.109298,3.252162,1.755112
cuda,DistillGPT2,1,1.005638,2.974658,0.735610,4.835469,1.552429,0.578781,0.095898,2.637664,3.563929
cuda,ElectraForCausalLM,32,2.265951,8.417125,1.892076,12.548165,3.518914,1.278095,0.248302,3.560986,6.116550
cuda,ElectraForQuestionAnswering,64,2.246217,6.185627,1.853060,9.424606,3.339215,1.202532,0.256244,5.179116,2.005139
cuda,GPT2ForSequenceClassification,4,1.996213,4.165034,2.067434,6.448846,2.429933,1.127638,0.216361,4.430762,1.024198
cuda,GoogleFnet,1,1.178510,4.823524,0.898030,8.589147,1.869747,0.628206,0.106185,4.720241,0.615573
cuda,LayoutLMForMaskedLM,16,2.600676,6.371751,1.918170,9.276475,3.496747,1.233507,0.258634,4.911022,2.067753
cuda,LayoutLMForSequenceClassification,16,2.602085,6.267850,1.867864,10.437493,4.177169,1.449777,0.253249,6.124241,7.231179
cuda,M2M100ForConditionalGeneration,8,4.720801,12.053228,5.193386,19.945799,7.244470,2.920621,0.723764,16.210755,13.295052
cuda,MBartForCausalLM,32,1.676260,7.465644,1.878156,10.781837,3.518099,1.220200,0.239480,1.064883,5.280156
cuda,MBartForConditionalGeneration,16,4.533989,12.852667,4.300825,19.709455,8.980329,3.045977,0.967699,1.707623,11.859325
cuda,MT5ForConditionalGeneration,8,4.622138,6.457107,3.221146,11.296197,5.149505,1.696156,0.462123,8.218649,6.670237
cuda,MegatronBertForCausalLM,16,4.372047,8.615065,3.877042,12.827721,6.373405,2.359964,0.642982,8.257959,2.727516
cuda,MegatronBertForQuestionAnswering,16,4.457823,8.523158,3.826132,12.797685,6.268662,2.335003,0.635057,8.269247,2.327082
cuda,MobileBertForMaskedLM,32,11.625652,6.645704,5.331908,17.382367,8.672781,3.690284,1.860556,16.397983,4.880531
cuda,MobileBertForQuestionAnswering,64,10.562768,6.149195,4.750253,16.712862,8.385956,3.594840,1.827903,15.614399,3.559136
cuda,OPTForCausalLM,32,1.734998,5.632850,2.048050,8.610109,3.130902,1.253290,0.236701,1.341717,5.104883
cuda,PLBartForCausalLM,32,0.888479,4.535402,1.087258,7.014484,2.046598,0.666834,0.109862,1.279726,3.610723
cuda,PLBartForConditionalGeneration,16,2.422752,7.533797,2.386592,11.798854,4.782029,1.667433,0.368735,3.774969,6.990273
cuda,PegasusForCausalLM,32,1.902584,6.580364,1.819807,10.302572,3.438338,1.231396,0.241804,1.319357,5.626876
cuda,PegasusForConditionalGeneration,16,4.675694,11.951327,4.154192,18.729560,7.545033,3.556681,0.708693,2.418110,11.146665
cuda,RobertaForCausalLM,64,2.241422,6.507501,1.882905,9.374213,3.509088,1.242798,0.247977,1.334555,4.839305
cuda,RobertaForQuestionAnswering,128,2.258531,6.235647,1.863300,9.176679,3.379167,1.219731,0.253295,4.892953,0.494989
cuda,Speech2Text2ForCausalLM,128,0.929942,4.719313,0.978541,7.772105,1.410883,0.616446,0.104452,1.311440,4.072367
cuda,T5ForConditionalGeneration,4,3.223938,6.519483,1.935330,12.612564,4.029805,1.285290,0.296842,6.554209,8.134774
cuda,T5Small,1,3.124511,6.291950,1.557811,9.386513,2.845770,1.164623,0.289610,7.990438,4.761205
cuda,TrOCRForCausalLM,32,1.661053,6.033310,1.848457,9.388682,3.481073,1.193070,0.240786,1.211637,5.286513
cuda,XGLMForCausalLM,8,3.790719,15.685430,4.062569,21.400364,8.229872,2.400499,0.645868,25.823896,9.962919
cuda,YituTechConvBert,1,3.279681,8.997514,2.837442,13.531753,4.006852,1.700290,0.444935,11.115696,7.872851
