dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,17.200564,15.256808,12.270956,6.905895,1.649972,12.960748,3.103501,1.401676,0.143608,0.002444,6.773793,7.850185
cuda,AlbertForQuestionAnswering,4,16.915009,14.986072,11.975654,6.612975,1.607033,13.004854,2.852577,1.612574,0.138827,0.002436,3.474847,8.143301
cuda,BartForCausalLM,4,23.919602,20.475832,16.952748,11.429068,1.658174,18.752579,2.654375,1.741358,0.189615,4.196925,1.902278,13.362636
cuda,BartForConditionalGeneration,2,40.206477,32.782650,29.180066,14.287789,4.244984,21.767205,7.569166,3.753892,1.033332,0.755758,0.469188,12.892046
cuda,BertForMaskedLM,16,20.364194,16.824508,13.873335,7.679913,1.754107,13.308980,3.106231,1.863603,0.265806,0.002541,2.579910,7.554229
cuda,BertForQuestionAnswering,16,19.958053,16.487454,13.450535,7.236832,1.724692,12.681647,2.864553,1.812063,0.260222,0.002438,2.266147,7.338836
cuda,BlenderbotSmallForCausalLM,64,17.714558,15.257049,11.979649,8.256751,1.110426,15.963777,1.875179,1.176392,0.131737,3.504207,2.436540,12.443053
cuda,BlenderbotSmallForConditionalGeneration,64,28.387269,23.251663,19.813782,9.887882,2.586532,16.525158,5.075485,2.548427,0.535527,1.721354,2.358599,11.221583
cuda,CamemBert,16,20.819479,17.312828,14.353044,8.101758,1.751363,13.020387,3.078560,1.835104,0.262576,0.002432,1.261110,6.840629
cuda,DistilBertForMaskedLM,128,15.974282,14.364004,10.543282,7.227398,0.933303,11.566709,1.753999,0.866806,0.110862,3.466044,8.153590,8.825853
cuda,DistilBertForQuestionAnswering,256,14.647544,13.107389,10.103619,6.979113,0.931540,11.588644,1.793709,0.879070,0.107636,3.674733,10.651339,9.301379
cuda,DistillGPT2,16,15.882790,14.188582,10.042610,7.126764,1.007343,12.075411,1.893449,0.879689,0.099667,1.002346,4.036958,7.040045
cuda,ElectraForCausalLM,32,28.314121,24.578721,20.793295,14.081605,1.773964,28.279593,3.102167,1.661162,0.265076,1.845047,8.213356,17.990270
cuda,ElectraForQuestionAnswering,64,22.157623,18.628297,14.472142,8.388315,1.747992,18.161714,3.145080,1.571399,0.266857,0.002406,2.689076,11.907573
cuda,GPT2ForSequenceClassification,4,21.936725,18.562124,14.462756,8.897210,2.056471,12.191469,3.042333,1.593487,0.236854,0.275266,1.464884,5.779502
cuda,GoogleFnet,16,19.418777,17.310624,13.295929,10.311463,1.073481,19.046542,1.673674,0.903400,0.113017,4.032797,2.066204,13.957938
cuda,LayoutLMForMaskedLM,16,22.369316,18.485291,14.638316,8.196780,1.771463,14.215059,3.148513,1.848188,0.267758,1.894965,2.513801,9.858953
cuda,LayoutLMForSequenceClassification,16,22.166368,18.368888,14.312671,7.941458,1.769630,15.245070,4.135478,1.840071,0.264194,6.136303,6.618591,15.380438
cuda,M2M100ForConditionalGeneration,16,44.808060,35.430971,32.264398,17.859187,4.026204,29.540078,6.942313,4.246052,0.556444,16.263524,21.523974,32.397523
cuda,MBartForCausalLM,4,23.526724,20.092816,16.744244,11.318426,1.690104,19.069833,2.709090,1.761137,0.190533,3.632062,1.908279,13.253711
cuda,MBartForConditionalGeneration,2,42.542168,34.967497,31.299107,16.201574,4.406612,23.628491,8.009908,3.869253,0.993154,0.707997,0.410524,12.956642
cuda,MT5ForConditionalGeneration,16,32.947730,26.771451,23.704772,12.153529,3.253325,20.108958,5.505638,2.214981,0.448900,39.931551,74.676251,51.463394
cuda,MegatronBertForCausalLM,4,35.017718,27.892393,24.183982,11.956474,3.523266,19.052215,6.675038,3.177484,0.700682,0.948494,3.066296,11.902908
cuda,MegatronBertForQuestionAnswering,8,34.083878,27.013673,24.049495,12.047977,3.725881,19.726024,6.281302,3.386466,0.686377,1.508332,2.054913,13.251168
cuda,MobileBertForMaskedLM,64,50.466951,35.225345,32.069386,11.979080,5.114619,27.360875,9.526961,5.610744,2.312689,19.057814,34.303161,40.127373
cuda,MobileBertForQuestionAnswering,128,50.055605,34.862724,31.704170,11.266146,5.095046,26.854608,9.391923,5.538463,2.417921,14.938321,29.813331,36.187179
cuda,PLBartForCausalLM,8,18.722812,16.695665,13.431885,10.446216,0.918705,16.292582,1.514290,0.917200,0.101388,2.106690,1.634113,8.965539
cuda,PLBartForConditionalGeneration,4,30.897076,25.695368,22.232915,14.694538,2.230029,23.329252,3.726557,2.164424,0.263521,3.054353,2.249719,14.143364
cuda,PegasusForCausalLM,32,21.457485,18.175869,15.046648,9.687983,1.708700,16.613615,2.705341,1.743199,0.191741,3.991970,2.337811,12.798468
cuda,PegasusForConditionalGeneration,32,38.836557,34.556591,31.286220,16.705485,3.829764,25.473344,7.377513,3.867657,0.687388,2.233704,1.888401,15.236668
cuda,RobertaForCausalLM,16,22.221146,18.531437,14.902041,8.261032,1.796932,12.623722,2.988104,2.107369,0.267611,0.002789,1.632106,6.333524
cuda,RobertaForQuestionAnswering,16,21.178378,17.664048,13.889891,7.576981,1.747108,11.659605,2.866487,1.823086,0.257866,0.002775,0.917131,5.999259
cuda,Speech2Text2ForCausalLM,256,17.517472,15.609210,12.423852,9.522304,0.789776,15.141619,1.453131,0.886153,0.101403,2.417675,3.356144,8.916172
cuda,T5ForConditionalGeneration,4,26.065389,21.712780,17.903430,9.493973,2.436498,14.693728,3.467410,1.887793,0.283109,3.314450,9.080982,11.167694
cuda,T5Small,4,25.973156,21.639216,17.830310,9.426004,2.439680,14.739381,3.476844,1.890820,0.279684,3.190415,9.105669,11.160631
cuda,XGLMForCausalLM,8,33.626082,27.816290,24.765621,13.272033,3.719008,22.514371,5.978608,3.678967,0.397998,8.659347,4.995926,21.985148
cuda,XLNetLMHeadModel,8,51.535445,44.356246,41.314606,22.176347,5.614989,29.078687,14.655077,3.852705,0.834608,11.452606,13.056491
cuda,YituTechConvBert,16,28.849435,23.968846,20.879607,11.392459,2.982893,22.753573,5.117499,2.383261,0.438821,1.019597,12.848661,15.622016
