dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,11.707871,10.078135,4.045084,1.726056,8.266528,3.389543,1.223074,0.152993,1.478311,6.027536
cuda,AlbertForQuestionAnswering,4,11.545042,9.973433,4.011297,1.688622,8.178784,3.333171,1.202290,0.147602,1.116052,5.935272
cuda,BartForCausalLM,4,16.654458,13.342453,6.372280,2.027913,9.532219,3.714320,1.611153,0.274888,1.502477,5.289758
cuda,BartForConditionalGeneration,2,42.338775,34.266649,16.983173,6.766786,21.540376,9.739952,4.035482,1.043809,1.226128,11.587703
cuda,BertForMaskedLM,16,16.905345,13.503149,6.020666,2.558926,8.533428,3.670726,1.683661,0.295964,2.098658,5.181473
cuda,BertForQuestionAnswering,16,16.588634,13.065835,6.029135,2.531030,8.521103,3.623752,1.662184,0.289665,1.685229,5.128916
cuda,BlenderbotForCausalLM,4,32.977426,25.747396,11.978529,4.498452,16.503401,7.000131,3.175642,0.694202,4.226222,9.228003
cuda,BlenderbotSmallForCausalLM,64,10.322548,8.327662,3.763440,1.348392,6.160463,2.661691,1.109625,0.174083,3.813869,2.071826
cuda,BlenderbotSmallForConditionalGeneration,64,27.179806,21.907018,10.209700,3.661226,13.867932,6.490038,2.732062,0.575335,2.290960,7.494596
cuda,CamemBert,16,16.552362,13.016817,5.878661,2.553033,8.341712,3.625292,1.662443,0.289099,0.999559,5.123001
cuda,DebertaForMaskedLM,4,27.552062,20.668462,11.408793,2.607633,15.094517,5.422719,2.488845,0.361368,2.360821,6.526316
cuda,DebertaForQuestionAnswering,8,26.875540,20.209189,11.063346,2.803205,14.425859,5.157541,2.259209,0.361688,2.772698,6.391540
cuda,DebertaV2ForMaskedLM,1,40.560356,27.991853,13.684119,3.772239,15.772254,5.389484,3.440622,0.630617,1.845931,6.419582
cuda,DebertaV2ForQuestionAnswering,2,40.711042,28.363263,13.866087,4.264955,16.737512,7.023171,3.445430,0.642852,0.508499,7.975111
cuda,DistilBertForMaskedLM,128,9.765315,8.329656,4.476991,1.317265,6.326545,2.148125,0.899415,0.130993,3.747044,3.227728
cuda,DistilBertForQuestionAnswering,256,10.348421,8.917358,4.866507,1.343511,6.615855,1.969387,1.194109,0.126510,2.923150,3.148640
cuda,DistillGPT2,16,10.398950,8.978379,5.411832,1.329719,7.332692,1.982049,0.873775,0.112361,2.209972,3.300804
cuda,ElectraForCausalLM,32,18.240448,14.844110,7.595907,2.322218,13.221776,3.813059,1.745475,0.294418,4.126679,8.281632
cuda,ElectraForQuestionAnswering,64,16.301229,13.098135,6.043682,2.511848,10.808022,3.681065,1.657543,0.301831,2.350253,7.381404
cuda,GPT2ForSequenceClassification,4,17.270830,14.314380,7.830501,2.176090,10.093311,4.210494,1.561414,0.250273,1.469878,4.534307
cuda,GoogleFnet,16,10.927716,9.228376,5.301541,1.228409,8.455991,1.935189,1.110010,0.133586,1.786513,4.456722
cuda,LayoutLMForMaskedLM,16,18.111732,14.536994,7.300720,2.162987,10.280786,3.983156,1.692736,0.289911,2.516132,5.442173
cuda,LayoutLMForSequenceClassification,16,18.396912,14.845305,7.580447,2.201860,12.267992,4.834956,1.971983,0.288879,7.422910,7.199741
cuda,M2M100ForConditionalGeneration,16,40.580360,31.818199,14.993173,5.092426,21.856383,9.830572,4.094580,0.788057,8.621947,12.219166
cuda,MBartForCausalLM,4,18.153565,14.586040,7.948606,2.516898,10.652172,3.379697,1.669049,0.277907,1.338218,5.321980
cuda,MBartForConditionalGeneration,2,41.553291,33.645617,16.216279,6.709549,20.828956,9.853013,4.092490,1.066616,0.511151,11.581278
cuda,MT5ForConditionalGeneration,16,28.141150,22.778607,10.251978,3.421229,14.684577,6.595947,2.421716,0.531947,21.025119,8.305314
cuda,MegatronBertForCausalLM,4,31.984262,25.555017,11.466850,4.757008,16.257886,8.638160,3.313533,0.731878,1.692593,9.757078
cuda,MegatronBertForQuestionAnswering,8,32.158566,25.693822,11.760761,4.736876,16.445846,8.516026,3.282853,0.739134,1.626065,9.897307
cuda,MobileBertForMaskedLM,64,35.810127,28.739737,7.623473,5.627289,21.169109,10.194160,5.460586,2.511250,3.652256,19.484020
cuda,MobileBertForQuestionAnswering,128,36.442253,29.208128,7.688730,5.679132,20.725619,10.296201,4.831691,2.579612,2.271878,19.028715
cuda,OPTForCausalLM,2,16.237454,13.459727,6.841355,2.013980,9.804033,4.488295,1.708949,0.275469,1.808133,5.072785
cuda,PLBartForCausalLM,8,9.895341,8.361204,4.645250,1.268307,6.813061,2.073056,0.879119,0.129043,1.224960,3.490620
cuda,PLBartForConditionalGeneration,4,21.148017,17.304993,8.118922,3.044307,12.269708,5.022348,2.205814,0.421214,1.757185,7.330514
cuda,PegasusForCausalLM,32,16.106051,13.074113,6.399889,2.258191,9.576797,3.678300,1.624574,0.276692,1.554744,5.537353
cuda,PegasusForConditionalGeneration,32,29.222262,25.586498,10.392481,3.935033,17.180066,8.483949,3.411810,0.716633,0.643798,10.934959
cuda,RobertaForCausalLM,16,16.345918,13.130497,6.084677,2.533603,8.547637,3.714798,1.689333,0.292114,1.363550,5.103182
cuda,RobertaForQuestionAnswering,16,16.634269,13.111789,6.005749,2.521657,8.199016,3.623852,1.663817,0.285616,0.620597,4.822845
cuda,Speech2Text2ForCausalLM,256,9.182777,7.430434,4.148340,0.940999,6.715943,1.888392,0.836106,0.129593,1.073760,3.561738
cuda,T5ForConditionalGeneration,4,20.292767,16.830040,8.093331,2.270131,11.290654,5.032580,1.742432,0.330901,6.686318,5.595273
cuda,T5Small,4,20.339825,16.872721,8.146338,2.286154,11.390269,4.719227,2.078283,0.330775,6.557974,5.657280
cuda,TrOCRForCausalLM,32,16.201401,13.071106,6.288823,1.961698,9.465617,3.670702,1.600561,0.275065,1.085438,5.238844
cuda,XGLMForCausalLM,8,33.992964,28.080117,13.892371,5.362591,19.132997,8.831542,3.411002,0.818243,21.990825,11.101883
cuda,XLNetLMHeadModel,8,46.847433,39.770951,18.837789,7.355606,24.092580,14.163798,3.834076,0.924276,10.265806,12.922362
cuda,YituTechConvBert,16,24.637056,20.004928,9.008293,3.887937,14.279584,6.126808,2.433612,0.486894,9.004977,9.326515
