dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForQuestionAnswering,4,11.469172,9.916126,4.016372,1.712129,8.254934,3.368132,1.225825,0.147040,1.052974,1.071079,7.089660
cuda,BartForCausalLM,4,15.938998,12.814737,6.271868,2.031109,9.451256,3.731814,1.627926,0.281960,1.435810,1.577396,6.751899
cuda,BartForConditionalGeneration,2,42.044165,34.161299,17.031161,6.224390,21.670632,9.721050,4.050277,1.039775,0.884314,1.313362,12.021968
cuda,BertForMaskedLM,16,16.301845,13.014196,5.920488,2.293414,8.745191,3.870351,1.669553,0.287456,1.899523,2.073891,7.128859
cuda,BertForQuestionAnswering,16,16.317451,13.044085,5.923935,2.291429,8.725460,3.909113,1.662534,0.284830,1.559256,1.635255,6.768533
cuda,BlenderbotSmallForCausalLM,64,10.269323,8.271646,3.710350,1.331788,5.926749,2.447857,1.114729,0.173247,2.448377,6.068826,2.103973
cuda,BlenderbotSmallForConditionalGeneration,64,27.049099,21.838470,10.257153,3.350714,14.180816,6.796728,2.749618,0.588059,2.035379,1.870441,9.494767
cuda,CamemBert,16,16.191586,12.975300,5.911308,2.314148,8.611910,3.935089,1.671405,0.290904,0.807191,0.956497,5.933047
cuda,DebertaForMaskedLM,4,26.058254,19.341540,10.588960,2.672374,13.690939,4.735731,2.289384,0.365807,15.226714,2.528113,21.261202
cuda,DebertaForQuestionAnswering,8,25.951889,19.306126,10.517451,2.605928,13.527624,4.675435,2.259923,0.364143,16.221171,2.796718,22.095666
cuda,DebertaV2ForMaskedLM,1,39.562911,27.576706,13.375721,3.886491,15.157737,5.474448,2.882359,0.633472,33.188084,1.738905,39.289424
cuda,DistilBertForMaskedLM,128,9.289221,7.902520,4.172426,1.087902,5.998679,1.890843,0.882775,0.130113,1.505512,3.725269,4.477005
cuda,DistilBertForQuestionAnswering,256,9.645328,8.238443,4.444537,1.093444,6.417288,1.951717,1.070345,0.126633,0.892382,2.907268,4.015183
cuda,DistillGPT2,16,10.245496,8.872167,5.397270,1.088298,7.305185,1.966733,0.867054,0.111707,0.895339,2.181344,3.943683
cuda,ElectraForCausalLM,32,17.886321,14.598807,7.436471,2.296546,13.263869,4.079441,1.727134,0.289437,3.705370,3.906756,11.945098
cuda,ElectraForQuestionAnswering,64,16.203918,12.991741,5.932854,2.283221,10.883414,3.908019,1.661698,0.293690,2.349536,2.363095,9.693617
cuda,GPT2ForSequenceClassification,4,16.785953,13.915773,7.533163,2.163521,9.820667,3.662882,1.820041,0.253515,0.279842,1.475957,4.828440
cuda,GoogleFnet,16,10.335631,8.676664,5.104007,1.213046,7.903918,1.939254,0.866932,0.128275,5.066349,1.804347,9.158806
cuda,LayoutLMForMaskedLM,16,17.914381,14.413179,7.202511,2.151059,10.054217,3.947664,1.689923,0.295554,1.967484,2.538690,7.272790
cuda,LayoutLMForSequenceClassification,16,17.992753,14.550324,7.469668,2.197491,12.004527,4.776877,1.962129,0.287204,7.111076,7.583019,14.141951
cuda,M2M100ForConditionalGeneration,16,38.971272,31.195743,14.733247,5.144418,20.838365,8.961244,4.104004,0.791202,3.757408,8.672337,15.536546
cuda,MBartForCausalLM,4,17.707150,14.438137,7.827558,2.272585,10.781916,3.566927,1.655075,0.278565,1.382730,1.363741,6.715375
cuda,MBartForConditionalGeneration,2,41.207271,33.256511,15.945330,6.240716,20.639325,9.851051,4.104375,1.060421,0.935485,0.540669,12.159125
cuda,MT5ForConditionalGeneration,16,27.900142,22.853179,10.259917,3.411442,14.567899,6.551636,2.398785,0.537500,3.427554,21.203465,11.609469
cuda,MegatronBertForCausalLM,4,31.847153,25.313690,11.224602,4.404363,15.959269,8.355599,3.282546,0.715558,1.075497,1.613344,10.431561
cuda,MegatronBertForQuestionAnswering,8,31.849467,25.361140,11.513807,4.452359,16.081395,8.267094,3.279156,0.735816,1.602878,1.546377,11.102285
cuda,MobileBertForMaskedLM,64,36.191465,29.015056,7.726044,5.703591,20.758806,10.341089,4.831633,2.565477,3.112696,3.689339,22.188226
cuda,MobileBertForQuestionAnswering,128,36.129145,28.932158,7.648341,5.581086,20.698648,10.294446,4.785028,2.599150,2.757440,2.461595,21.728835
cuda,OPTForCausalLM,2,16.021767,13.223495,6.580124,2.023673,9.619286,4.229760,1.727950,0.280283,1.452690,1.849699,6.618294
cuda,PLBartForCausalLM,8,9.604811,8.070287,4.382855,1.091614,6.564259,1.857017,0.883033,0.126996,1.088537,1.247753,4.418376
cuda,PLBartForConditionalGeneration,4,21.359745,17.421994,8.233888,2.799029,12.292903,5.267998,2.206234,0.422547,1.684036,1.785351,8.692299
cuda,PegasusForCausalLM,32,16.021393,12.951126,6.206056,2.014427,9.673945,3.752092,1.647522,0.280732,1.700265,1.579379,7.290727
cuda,PegasusForConditionalGeneration,32,30.291261,26.467032,10.518784,4.004638,17.037652,8.218656,3.453095,0.716738,2.133399,0.653792,12.892179
cuda,RobertaForCausalLM,16,16.330898,13.108822,6.016661,2.323803,8.550444,3.975251,1.701799,0.287488,0.872191,1.339946,5.842445
cuda,RobertaForQuestionAnswering,16,16.255916,13.049815,5.992009,2.311092,8.393087,3.860314,1.663294,0.286302,0.565777,0.617410,5.389474
cuda,Speech2Text2ForCausalLM,256,9.135240,7.425064,4.158092,0.944476,6.565475,1.695516,0.829924,0.127596,1.290911,1.088994,4.697853
cuda,T5ForConditionalGeneration,4,20.083454,16.598540,7.790990,2.258900,11.026374,4.671754,1.761646,0.332907,2.139409,6.821229,7.763061
cuda,T5Small,4,19.998250,16.529758,7.774215,2.284070,10.969229,4.685436,1.753526,0.330119,1.984881,6.739572,7.592599
cuda,XGLMForCausalLM,8,33.617134,27.746526,13.631569,4.703408,19.320422,9.123580,3.408031,0.799064,3.970553,22.068524,14.589359
cuda,XLNetLMHeadModel,8,47.036441,39.922045,18.847209,7.385757,24.127081,14.154138,3.861865,0.938490,10.562426,12.986254
cuda,YituTechConvBert,16,24.437023,19.719110,9.101084,3.909570,14.418382,6.160369,2.464602,0.489393,6.134612,9.101835,15.531791
