dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,14.314890,12.346202,4.414817,2.158668,9.009197,3.352967,1.183585,0.164579,6.842768,0.814976
cuda,AlbertForQuestionAnswering,4,14.198265,12.273655,4.392087,2.131344,8.922152,3.334999,1.182598,0.153687,6.751287,0.432884
cuda,AllenaiLongformerBase,4,60.134171,51.199175,30.073040,8.166727,36.073625,16.383937,5.568840,0.473079,0.679381,14.682460
cuda,BartForCausalLM,4,19.774447,16.240327,7.602637,2.460791,10.685330,3.660111,1.734638,0.335062,2.354496,5.656374
cuda,BartForConditionalGeneration,2,49.971937,41.274647,18.952190,8.832613,22.529270,9.941044,4.367996,1.239729,1.190708,12.700996
cuda,BertForMaskedLM,16,19.409714,15.470640,6.425774,2.593451,9.180703,3.968583,1.720910,0.328243,5.465542,1.421795
cuda,BertForQuestionAnswering,16,19.243830,15.723970,6.360506,2.577086,9.014127,3.956641,1.729077,0.322008,5.346719,0.991843
cuda,BlenderbotForCausalLM,4,35.464594,27.853626,11.105024,5.780352,16.605978,7.896680,3.399681,0.926217,11.509394,4.002432
cuda,BlenderbotSmallForCausalLM,64,12.733646,10.305994,4.472017,1.810239,6.596323,2.296759,1.158722,0.197773,4.012126,2.516353
cuda,BlenderbotSmallForConditionalGeneration,64,32.927044,26.530281,11.669703,4.583307,15.054763,6.574975,2.913326,0.672467,1.748136,8.163459
cuda,CamemBert,16,19.503404,15.942281,6.516176,2.620945,9.202922,3.975331,1.721794,0.323273,5.424044,0.330225
cuda,DebertaForMaskedLM,4,31.979580,25.069245,14.840521,3.556251,18.123640,5.443291,2.434026,0.390064,0.911345,7.316782
cuda,DebertaForQuestionAnswering,8,33.162671,26.081244,15.634746,3.426480,19.467167,5.907218,2.452699,0.397061,1.773288,7.506613
cuda,DebertaV2ForMaskedLM,1,51.060566,37.765461,18.923133,4.862775,22.048941,6.995002,3.359015,0.697810,1.561694,8.674479
cuda,DebertaV2ForQuestionAnswering,2,51.361801,37.721985,19.556760,5.904431,23.328523,7.680082,4.682654,0.708677,0.546510,10.081281
cuda,DistilBertForMaskedLM,128,10.069512,8.511464,3.850169,1.327255,5.822726,2.251128,0.926002,0.142306,3.359911,1.138410
cuda,DistilBertForQuestionAnswering,256,10.255177,8.680956,3.974702,1.488059,5.994023,2.153377,0.955803,0.138452,3.567945,0.557882
cuda,DistillGPT2,16,10.161901,8.662040,4.500293,1.383340,6.674789,2.183419,0.879007,0.124079,1.886670,3.611317
cuda,ElectraForCausalLM,32,21.124824,17.201837,8.227499,2.623296,13.620936,4.165951,1.804478,0.328011,3.019751,8.137342
cuda,ElectraForQuestionAnswering,64,19.449565,15.551849,6.451870,2.618671,11.101846,4.022974,1.736923,0.323080,7.387286,1.744886
cuda,GPT2ForSequenceClassification,4,16.852412,13.743454,6.002466,2.904055,8.703936,3.549849,1.598697,0.274379,5.708673,1.408695
cuda,LayoutLMForMaskedLM,16,21.335706,17.148785,8.027182,2.685460,10.788858,4.099129,1.764097,0.333178,1.823284,5.565718
cuda,LayoutLMForSequenceClassification,16,21.450186,17.598417,8.382768,2.935973,12.502470,4.642371,2.024048,0.327586,6.640474,7.174262
cuda,M2M100ForConditionalGeneration,16,46.872315,38.350749,16.669430,7.259115,23.677038,9.324550,4.364217,0.946078,11.523651,14.554775
cuda,MBartForCausalLM,4,20.563817,17.243159,8.494415,2.569547,11.778719,4.150994,2.029926,0.356895,2.149775,5.968619
cuda,MBartForConditionalGeneration,2,48.656797,39.099504,16.668264,8.245605,22.231319,10.462534,4.474512,1.374694,0.576425,14.105766
