dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,2,1.554741,3.715426,1.594957,7.370643,2.207164,0.991222,0.145897,7.452099,12.784203
cuda,AlbertForQuestionAnswering,2,1.536469,3.093407,1.534607,6.581271,2.169573,0.937229,0.132034,1.265762,6.367571
cuda,BartForCausalLM,2,1.621531,6.009043,1.829397,8.112891,2.707413,1.089014,0.216037,7.488160,11.509361
cuda,BartForConditionalGeneration,1,4.478786,12.717055,3.772001,15.337175,5.590806,2.147922,0.746141,0.903090,7.517867
cuda,BertForMaskedLM,64,2.163457,7.684877,2.147871,9.185578,3.274536,1.194078,0.252935,9.361038,13.105105
cuda,BertForQuestionAnswering,64,2.165311,7.552027,2.111060,8.716130,3.224746,1.191566,0.245243,0.448328,3.823405
cuda,BigBird,1,9.234732,5.613206,1.261364,9.189099,1.865822,1.109565,0.185822,9.838715,14.785012
cuda,BlenderbotSmallForCausalLM,64,1.088204,3.534019,1.270289,5.598326,1.956118,0.786381,0.137179,10.793292,14.187644
cuda,BlenderbotSmallForConditionalGeneration,32,2.958308,7.973221,2.860317,12.058983,4.689655,1.936812,0.476508,18.064363,25.159170
cuda,CamemBert,1,2.136064,7.180302,1.890447,8.562716,2.946296,1.023160,0.229346,2.581055,5.945733
cuda,DebertaForMaskedLM,4,6.161319,13.948269,2.886408,17.698879,3.961643,1.873421,0.309664,20.096376,26.966272
cuda,DebertaForQuestionAnswering,4,6.182517,12.298904,2.831970,15.077186,3.954535,1.886388,0.308759,19.512662,25.356442
cuda,DistilBertForMaskedLM,16,0.819739,3.667906,1.088486,4.740088,1.445125,0.627810,0.106820,10.149297,12.527939
cuda,DistilBertForQuestionAnswering,32,0.838124,3.900680,1.046189,4.977883,1.432538,0.614539,0.104700,13.949751,16.294943
cuda,DistillGPT2,1,0.978238,5.074402,0.752041,6.715695,1.492277,0.548782,0.086517,18.142896,20.578687
cuda,ElectraForCausalLM,1,2.143368,7.057170,1.872580,8.467210,2.887758,1.031594,0.230850,2.677208,6.054343
cuda,ElectraForQuestionAnswering,64,2.203058,7.704202,1.889576,9.387875,3.533753,1.211818,0.255274,9.676282,13.342624
cuda,GPT2ForSequenceClassification,4,2.082958,7.428999,1.739755,9.374980,3.194768,1.154844,0.193016,4.664285,8.431860
cuda,GoogleFnet,1,1.115674,5.030164,0.983605,8.166405,1.500488,0.747586,0.118890,6.769803,10.956498
cuda,LayoutLMForMaskedLM,16,2.508947,7.732118,2.167722,9.256411,3.290617,1.203505,0.252302,8.474158,12.260269
cuda,LayoutLMForSequenceClassification,16,2.338849,7.888017,2.137303,10.589669,3.898251,1.411516,0.251909,28.201250,33.134383
cuda,M2M100ForConditionalGeneration,2,4.343480,14.388202,3.908626,21.681778,6.324800,3.034882,0.703442,41.647938,53.073881
cuda,MBartForCausalLM,16,1.626307,7.462458,1.879452,9.821414,2.825511,1.179399,0.230206,7.779354,12.108163
cuda,MBartForConditionalGeneration,8,4.368478,13.060488,4.055686,17.480080,6.853879,3.315767,0.858278,13.026639,22.189834
cuda,MT5ForConditionalGeneration,2,4.325862,10.507705,2.912593,13.852762,4.558596,1.666381,0.403624,47.518010,53.945828
cuda,MegatronBertForCausalLM,2,4.389926,15.116350,3.788695,17.817178,7.395056,2.364733,0.662784,5.938483,12.611729
cuda,MegatronBertForQuestionAnswering,8,4.262491,14.647596,3.453711,16.682907,7.022763,2.095034,0.590829,6.341717,12.012068
cuda,MobileBertForMaskedLM,16,9.854318,9.687147,3.873536,19.364069,7.938470,3.547440,1.706701,17.075365,30.945583
cuda,MobileBertForQuestionAnswering,32,9.873252,9.621354,3.825147,19.019318,7.914412,3.510655,1.717201,10.185641,23.724738
cuda,OPTForCausalLM,4,1.656177,4.807598,1.650423,7.468340,3.033104,1.204624,0.229019,18.931514,23.324566
cuda,PLBartForCausalLM,16,0.833968,4.470364,1.065705,6.170580,1.438773,0.633210,0.101870,9.169811,12.144991
cuda,PLBartForConditionalGeneration,8,2.332479,8.045178,2.464338,11.351238,3.959238,1.572742,0.333154,28.493215,34.381870
