dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForQuestionAnswering,4,1.747047,3.334047,1.903563,7.583742,2.852695,0.990832,0.131171,1.146897,7.377164,0.509825
cuda,BartForCausalLM,4,1.842331,5.450123,1.923556,8.055825,2.595935,1.082233,0.206434,1.360953,1.410760,5.975348
cuda,BartForConditionalGeneration,2,5.046412,13.188729,5.637531,18.150454,7.499399,2.846333,0.760937,1.116723,1.162876,12.247189
cuda,BertForMaskedLM,16,2.447287,5.751979,2.014300,8.131406,2.711853,1.185440,0.232637,1.998490,6.690954,1.422199
cuda,BertForQuestionAnswering,16,2.467015,5.814810,2.191318,8.080530,2.722439,1.186894,0.231744,1.453604,5.998421,0.998418
cuda,BlenderbotSmallForCausalLM,64,1.282361,3.159699,1.458011,5.433968,1.734546,0.804075,0.132541,2.662195,6.451038,2.310305
cuda,BlenderbotSmallForConditionalGeneration,64,3.335913,7.556140,3.386128,11.764631,5.037770,2.021791,0.462466,2.104785,1.933714,9.841205
cuda,CamemBert,16,2.419017,5.847686,2.253512,8.181175,2.715422,1.198944,0.234393,0.937894,5.612786,0.339770
cuda,DebertaForMaskedLM,4,6.667392,15.893938,2.623806,19.343566,3.666766,1.830126,0.309565,15.214148,0.854570,21.515073
cuda,DebertaForQuestionAnswering,8,6.828511,15.803186,2.596471,19.271356,3.680228,1.834580,0.311434,17.053271,1.793144,23.345874
cuda,DebertaV2ForMaskedLM,1,10.606845,18.612131,3.032933,22.268613,4.168430,2.264139,0.542097,35.341555,1.540562,42.400523
cuda,DebertaV2ForQuestionAnswering,2,10.664915,18.613622,3.549596,22.746511,4.879376,2.581007,0.537869,34.785451,0.510251,42.840896
cuda,DistilBertForMaskedLM,128,0.942634,2.862443,1.037723,4.608439,1.345280,0.621272,0.105558,1.501727,4.331388,1.186504
cuda,DistilBertForQuestionAnswering,256,0.953524,2.806293,0.997796,4.686985,1.347442,0.642783,0.101799,0.915865,3.839312,0.576287
cuda,DistillGPT2,16,1.126783,4.864688,1.050067,6.729291,1.360556,0.659888,0.091768,2.114749,2.681571,5.075710
cuda,ElectraForCausalLM,32,2.477459,8.009909,2.222352,11.135527,2.607572,1.256388,0.234263,3.166074,2.580441,8.604410
cuda,ElectraForQuestionAnswering,64,2.448569,5.819119,2.238439,8.167347,2.751995,1.197926,0.238169,1.805639,6.479707,1.222253
cuda,GPT2ForSequenceClassification,4,2.478726,4.560199,2.215785,6.475862,2.419681,1.160788,0.202306,1.726362,5.943558,1.378973
cuda,GoogleFnet,16,1.306792,9.771100,1.122571,12.939342,1.519325,0.647609,0.103679,4.085073,1.763901,8.442474
cuda,LayoutLMForMaskedLM,16,2.746978,5.609329,2.059637,8.273713,2.817589,1.212927,0.240549,2.003799,6.817790,1.437914
cuda,LayoutLMForSequenceClassification,16,2.697679,5.810186,1.985697,9.956357,3.470732,1.418322,0.233680,7.113426,13.333023,6.548736
cuda,M2M100ForConditionalGeneration,16,4.993471,11.977294,4.614720,18.849099,7.015646,3.034031,0.640204,3.813553,8.885792,15.508641
cuda,MBartForCausalLM,4,1.870435,7.094729,2.171551,9.400945,2.396904,1.098927,0.201327,1.362029,1.233364,5.922021
cuda,MBartForConditionalGeneration,2,4.987176,12.298174,5.777558,17.547208,7.619413,2.943062,0.778072,1.054804,0.501476,12.300287
cuda,MT5ForConditionalGeneration,16,4.852404,8.522915,4.304967,13.125479,5.272863,1.812290,0.412550,3.661141,20.098387,12.738059
cuda,MegatronBertForCausalLM,4,4.725155,7.465296,4.480400,11.281541,5.713286,2.321288,0.601328,1.185270,9.656078,0.392927
cuda,MegatronBertForQuestionAnswering,8,4.715197,7.473136,4.331513,11.224903,5.708035,2.309134,0.612350,1.650164,9.909284,0.563972
cuda,MobileBertForMaskedLM,64,10.928285,7.113603,7.367088,15.687811,7.301234,3.732881,1.831415,3.123447,19.814650,1.758126
cuda,MobileBertForQuestionAnswering,128,10.888072,7.020417,7.812502,16.834036,7.717026,4.154648,2.127205,2.738799,21.082980,1.003043
cuda,OPTForCausalLM,2,1.895025,5.732293,1.958831,8.488697,3.139585,1.281153,0.222888,1.533547,1.673582,6.334973
cuda,PLBartForCausalLM,8,0.995396,4.103018,1.048915,6.408401,1.425879,0.663196,0.099918,1.099595,1.157792,4.499490
cuda,PLBartForConditionalGeneration,4,2.729160,6.866185,2.776770,10.890188,3.950654,1.661198,0.339594,1.664926,1.545044,8.581076
cuda,PegasusForCausalLM,32,1.887876,5.896117,2.131229,8.983207,2.453229,1.186547,0.214750,1.768615,1.546637,7.074763
cuda,PegasusForConditionalGeneration,32,4.815538,11.056432,4.796316,16.601839,6.926594,2.978963,0.628991,2.420902,0.687877,12.976905
cuda,RobertaForCausalLM,16,2.510977,5.910025,2.230129,8.105007,2.792811,1.215874,0.237805,0.885884,0.715491,5.397459
cuda,RobertaForQuestionAnswering,16,2.456371,5.849719,1.991872,8.049253,2.741902,1.191655,0.231634,0.502820,4.997927
cuda,Speech2Text2ForCausalLM,256,1.044915,4.751607,0.904215,7.491528,1.213281,0.596767,0.093465,1.307478,1.063700,4.993861
cuda,T5ForConditionalGeneration,4,3.361213,6.788362,2.922938,12.247450,3.812519,1.328719,0.268824,2.023802,5.413519,10.520245
cuda,T5Small,4,3.411145,6.882777,2.952848,12.523025,4.013036,1.335252,0.265102,2.148089,5.436572,10.864624
