dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,1,pass,441,1,7,5
cuda,AlbertForQuestionAnswering,1,fail_accuracy,441,1,7,5
cuda,AllenaiLongformerBase,1,pass,1742,6,11,6
cuda,BartForCausalLM,1,pass,484,1,7,5
cuda,BartForConditionalGeneration,1,pass,1260,1,7,5
cuda,BertForMaskedLM,1,pass,372,1,7,5
cuda,BertForQuestionAnswering,1,pass,379,1,7,5
cuda,BlenderbotForCausalLM,1,pass_due_to_skip,0,0,0,0
cuda,BlenderbotSmallForCausalLM,1,pass,329,1,7,5
cuda,BlenderbotSmallForConditionalGeneration,1,pass,842,1,7,5
cuda,CamemBert,1,pass,379,1,7,5
cuda,DebertaForMaskedLM,1,pass,717,54,52,10
cuda,DebertaForQuestionAnswering,1,pass,724,54,52,10
cuda,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0
cuda,DebertaV2ForQuestionAnswering,1,fail_to_run,929,102,85,8
cuda,DistilBertForMaskedLM,1,pass,208,1,7,5
cuda,DistilBertForQuestionAnswering,1,pass,216,1,7,5
cuda,DistillGPT2,1,pass,332,1,7,5
cuda,ElectraForCausalLM,1,pass,377,1,7,5
cuda,ElectraForQuestionAnswering,1,pass,380,1,7,5
cuda,GPT2ForSequenceClassification,1,pass,648,4,9,6
cuda,LayoutLMForMaskedLM,1,pass,398,1,7,5
cuda,LayoutLMForSequenceClassification,1,pass,398,4,9,6
cuda,M2M100ForConditionalGeneration,1,pass,1273,1,7,5
cuda,MBartForCausalLM,1,pass,484,1,7,5
cuda,MBartForConditionalGeneration,1,pass,1265,1,7,5
cuda,MT5ForConditionalGeneration,1,pass,1175,1,7,5
cuda,MegatronBertForCausalLM,1,pass,723,1,7,5
cuda,MegatronBertForQuestionAnswering,1,pass,726,1,7,5
cuda,MobileBertForMaskedLM,1,pass,1449,1,4,3
cuda,MobileBertForQuestionAnswering,1,pass,1453,1,4,3
cuda,OPTForCausalLM,1,pass,536,1,7,5
cuda,PLBartForCausalLM,1,pass,256,1,7,5
cuda,PLBartForConditionalGeneration,1,pass,660,1,7,5
cuda,PegasusForCausalLM,1,pass,483,1,7,5
cuda,PegasusForConditionalGeneration,1,pass,1250,1,4,3
cuda,RobertaForCausalLM,1,pass,383,1,7,5
cuda,RobertaForQuestionAnswering,1,pass,386,1,7,5
cuda,Speech2Text2ForCausalLM,1,pass,265,1,7,5
cuda,T5ForConditionalGeneration,1,pass,812,1,7,5
cuda,T5Small,1,pass,812,1,7,5
cuda,TrOCRForCausalLM,1,pass,483,1,7,5
cuda,XGLMForCausalLM,1,pass,1003,1,7,5
cuda,XLNetLMHeadModel,1,pass,816,3,11,8
cuda,YituTechConvBert,1,pass,636,1,7,5
