dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,1.685613,3.344003,1.939821,7.083026,2.605332,0.989709,0.134230,1.405628,7.162589,0.875902
cuda,AlbertForQuestionAnswering,4,1.697814,3.334973,1.887463,7.364261,2.595319,0.984208,0.131975,1.055273,7.047852,0.520947
cuda,BartForCausalLM,4,1.721575,6.275147,2.213408,8.309235,2.738645,1.091132,0.198728,1.373993,1.412363,5.707770
cuda,BartForConditionalGeneration,2,4.815480,14.478953,6.373539,18.573808,7.897308,2.852723,0.764281,1.346889,1.162340,12.038746
cuda,BertForMaskedLM,64,2.314972,6.569927,2.311263,8.243835,2.888792,1.209259,0.232717,2.071292,6.148601,1.475540
cuda,BertForQuestionAnswering,128,2.328396,6.501232,2.270525,8.270280,2.851410,1.197552,0.234004,1.396179,5.527755,0.793610
cuda,BlenderbotSmallForCausalLM,64,1.203554,3.480185,1.467257,5.636061,1.808129,0.829598,0.135005,2.615076,6.298441,2.225636
cuda,BlenderbotSmallForConditionalGeneration,64,3.256833,8.603156,4.153988,11.711285,4.929029,2.036091,0.464027,2.119563,1.880987,9.531363
cuda,CamemBert,1,2.306888,6.217664,2.054849,7.772964,2.601968,1.028276,0.211941,0.954746,4.656143,0.579964
cuda,DebertaForMaskedLM,4,6.216684,15.942212,2.889680,18.806535,3.852098,1.857748,0.305000,18.725713,0.854616,24.710108
cuda,DebertaForQuestionAnswering,8,6.226448,15.882371,2.832438,18.775282,3.802973,1.847761,0.309579,19.988465,1.795419,25.944794
cuda,DistilBertForMaskedLM,64,0.899035,3.451216,1.197828,4.804924,1.637794,0.644049,0.106888,1.772233,4.371336,1.474560
cuda,DistilBertForQuestionAnswering,64,0.922652,3.432534,1.153805,4.742991,1.589428,0.635716,0.104667,1.362610,3.874070,1.056051
cuda,DistillGPT2,1,1.028158,2.492032,0.805676,4.257532,1.101310,0.541588,0.087685,3.597302,6.210993,3.357063
cuda,ElectraForCausalLM,32,2.340389,8.713950,2.318850,11.384727,3.015235,1.285042,0.232913,3.495376,2.647473,8.581559
cuda,ElectraForQuestionAnswering,64,2.326158,6.514344,2.285425,8.217159,2.846725,1.204383,0.234562,1.932765,6.014942,1.330738
cuda,GPT2ForSequenceClassification,4,2.134504,4.575691,2.179011,6.445487,2.387011,1.177921,0.208732,1.393344,5.524849,1.017617
cuda,GoogleFnet,1,1.239580,9.170076,0.950130,11.865530,1.336217,0.627028,0.103083,6.287154,10.010346,0.624874
cuda,LayoutLMForMaskedLM,16,2.702017,6.743996,2.384416,8.536467,3.004633,1.243060,0.235038,2.040631,6.312173,1.440062
cuda,LayoutLMForSequenceClassification,16,2.708380,6.627862,2.329084,9.929427,3.652222,1.445574,0.233496,7.549518,13.274267,7.077578
cuda,M2M100ForConditionalGeneration,8,5.000985,12.101580,4.734621,18.119832,6.467096,2.913889,0.650252,5.044365,15.666696,16.015206
cuda,MBartForCausalLM,32,1.746581,7.803703,2.300353,10.056924,2.854285,1.200394,0.215049,1.360374,1.266359,6.000696
cuda,MBartForConditionalGeneration,16,4.767779,13.741661,6.548779,18.295630,8.226723,3.058605,0.839796,1.169580,0.482417,12.498251
cuda,MT5ForConditionalGeneration,8,4.822786,6.985202,4.080605,11.245302,5.126905,1.749846,0.420932,4.349368,12.857230,3.864784
cuda,MegatronBertForCausalLM,16,4.598892,9.851589,5.647650,12.075606,5.794283,2.378645,0.597026,2.212865,10.267259,1.327437
cuda,MegatronBertForQuestionAnswering,16,4.583981,9.492866,5.519270,11.799155,5.799540,2.327598,0.588403,1.771559,9.778672,0.915434
cuda,MobileBertForMaskedLM,32,10.739399,6.914804,7.039116,15.210047,7.103165,3.574058,1.703248,3.733003,19.379943,2.255734
cuda,MobileBertForQuestionAnswering,64,10.803414,6.929746,6.936306,15.008264,7.034251,3.557420,1.697430,3.092752,18.424043,1.384160
