dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.131446,3.675155,1.911210,8.071231,2.873232,1.064515,0.147932,1.577875,7.977460,0.993207
cuda,AlbertForQuestionAnswering,4,2.100451,3.629960,1.813499,7.890552,2.827910,1.035305,0.139530,0.999216,7.165520,0.431517
cuda,BartForCausalLM,4,2.183163,5.672621,2.184949,8.333842,2.809991,1.272728,0.254984,2.632504,3.019726,7.588238
cuda,BartForConditionalGeneration,2,5.937760,12.916349,5.595665,18.739992,8.409466,3.320269,0.997328,1.070156,2.017015,12.770530
cuda,BertForMaskedLM,64,2.819035,5.245689,2.367310,7.600394,3.447495,1.418861,0.286764,3.209124,8.051895,2.570898
cuda,BertForQuestionAnswering,128,2.885449,5.091762,2.300606,7.492290,3.340250,1.404690,0.280071,1.788015,6.600750,1.329321
cuda,BigBird,1,10.903829,6.687989,1.560081,9.747363,2.286287,1.247741,0.213837,10.061527,14.805335,0.661222
cuda,BlenderbotSmallForCausalLM,64,1.487049,3.428856,1.551613,5.857459,2.010247,0.951169,0.158329,5.400245,9.452338,5.080899
cuda,BlenderbotSmallForConditionalGeneration,64,4.020050,8.235983,3.866658,12.447849,5.615570,2.354175,0.576063,3.400514,3.614024,11.662937
cuda,CamemBert,1,2.820207,4.869471,2.022963,7.060600,3.097174,1.280597,0.275896,1.551613,5.877219,1.115534
cuda,DebertaForMaskedLM,4,6.825501,13.537243,3.618334,16.685757,4.546812,2.165472,0.339477,23.843906,1.476016,30.862790
cuda,DebertaForQuestionAnswering,8,7.271153,14.134743,3.580889,17.356057,4.584613,2.193017,0.339733,29.206521,3.362102,36.275898
cuda,DistilBertForMaskedLM,64,1.152382,3.026834,1.333887,4.660986,1.650765,0.760706,0.120791,2.809636,5.837004,2.524220
cuda,DistilBertForQuestionAnswering,64,1.145603,3.025925,1.260496,4.536570,1.610167,0.739385,0.118489,2.357562,5.190650,2.079080
cuda,DistillGPT2,1,1.204182,2.731017,0.886924,4.588569,1.325741,0.654270,0.106278,7.552210,10.346414,7.274004
cuda,ElectraForCausalLM,32,2.833760,6.867959,2.427215,10.000328,3.576097,1.494301,0.285556,5.363533,4.388094,11.039053
cuda,ElectraForQuestionAnswering,64,2.897186,5.149495,2.354318,7.466758,3.401272,1.424506,0.290536,3.078020,7.863332,2.606235
cuda,GPT2ForSequenceClassification,4,2.551931,4.824212,2.068563,7.410283,3.105921,1.322099,0.243758,2.765001,7.514607,2.318291
cuda,LayoutLMForMaskedLM,16,3.231135,5.219584,2.418275,7.672835,3.494640,1.428345,0.289422,3.158960,8.152857,2.446586
cuda,LayoutLMForSequenceClassification,16,3.187634,5.271699,2.368093,9.476980,4.151392,2.257634,0.288937,12.525068,19.219181,11.927881
cuda,M2M100ForConditionalGeneration,8,5.745848,12.042478,4.111290,19.375167,7.584266,3.232270,0.776736,7.862699,32.329809,19.555075
cuda,MBartForCausalLM,32,2.185312,6.139822,2.354032,9.704738,3.066533,1.801175,0.286908,2.567721,2.823002,8.597092
cuda,MBartForConditionalGeneration,16,6.052790,13.040365,5.921357,20.287704,9.036123,3.588738,1.200260,1.094449,0.780571,14.544936
cuda,MT5ForConditionalGeneration,8,5.020196,7.677250,3.554380,12.224468,5.471825,2.663257,0.458840,8.031955,16.329066,7.322603
cuda,MegatronBertForCausalLM,16,5.512381,9.734517,5.176047,14.677818,7.738842,2.813692,0.832176,2.931008,13.281877,2.076536
cuda,MegatronBertForQuestionAnswering,16,5.444899,8.985631,5.044657,13.852505,7.076287,2.773098,0.814373,2.149942,12.293582,1.315286
cuda,MobileBertForMaskedLM,32,13.075519,9.644481,5.278533,22.003953,11.941074,4.759303,2.519619,5.802713,23.844330,4.234582
cuda,MobileBertForQuestionAnswering,64,13.289923,9.611731,5.211848,22.022134,11.891181,4.754494,2.542115,4.171961,22.188634,2.539817
cuda,OPTForCausalLM,32,2.226303,5.505624,1.812299,8.665476,3.444243,1.475345,0.262311,3.126971,4.063154,8.198016
cuda,PLBartForCausalLM,32,1.185868,4.362067,1.273584,6.512920,1.605490,0.742745,0.112962,2.929296,3.582138,6.412185
cuda,PLBartForConditionalGeneration,16,3.101763,8.039426,2.819631,11.989042,4.368014,1.820044,0.383932,4.543162,4.893888,11.807079
cuda,PegasusForCausalLM,32,2.250367,6.287349,2.288709,9.862203,3.003666,1.412666,0.282843,3.043473,3.215633,9.017599
