dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,24.611575,21.917731,19.412031,11.823210,2.106827,22.224725,3.063940,1.830999,0.157245,3.193000,7.595801,15.864796
cuda,AlbertForQuestionAnswering,4,22.922025,20.430783,17.918405,10.415942,2.069601,19.346470,3.273787,1.563341,0.153787,0.951019,3.771285,12.113196
cuda,AllenaiLongformerBase,4,80.616412,69.225872,66.319312,41.600337,8.614158,55.279261,21.522422,7.795664,0.448079,16.486788,5.452295,39.515385
cuda,BartForCausalLM,4,27.743467,21.593542,19.054864,11.500285,1.900421,17.854928,3.355309,2.118908,0.215522,4.400412,2.867609,12.858172
cuda,BartForConditionalGeneration,2,52.576061,40.777957,38.108527,17.261498,4.925784,25.697510,10.162953,4.831639,1.280813,1.103209,0.428037,14.954128
cuda,BertForMaskedLM,16,29.585110,23.624717,20.350328,11.312894,2.013919,19.331334,4.191647,2.017737,0.311984,0.550737,6.787692,10.774906
cuda,BertForQuestionAnswering,16,29.673002,23.802325,20.227711,11.292358,1.997000,18.270335,4.182489,1.967587,0.308468,0.209973,6.439675,9.372694
cuda,BlenderbotSmallForCausalLM,64,21.374307,17.204539,13.907263,8.775873,1.287769,16.084551,2.342473,1.438867,0.145958,4.049551,3.036388,12.787494
cuda,BlenderbotSmallForConditionalGeneration,64,35.426556,27.948845,25.339531,11.727083,3.077076,18.348450,6.628985,3.235763,0.664678,1.902212,2.318570,12.187574
cuda,CamemBert,16,27.699526,21.901098,19.230487,10.695906,2.003078,16.792000,4.172819,1.999340,0.307372,0.560166,5.520646,8.850580
cuda,DebertaForMaskedLM,4,30.199520,23.477000,20.676751,13.302679,2.089379,21.637954,3.971270,2.283620,0.303314,15.274547,3.479963,25.991826
cuda,DebertaForQuestionAnswering,8,30.133240,23.428998,20.701625,13.290170,2.060819,22.191025,3.934699,2.267657,0.298864,16.391685,4.046453,27.648366
cuda,DebertaV2ForMaskedLM,1,47.824962,33.032726,30.203274,14.995091,2.944701,23.587261,5.258810,3.524214,0.584675,36.293617,1.331174,48.409013
