dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,1.629214,3.114100,1.863865,6.683052,2.373374,0.955878,0.133739,5.735094,1.063364
cuda,AlbertForQuestionAnswering,4,1.604758,3.085993,1.818630,6.849087,2.342688,0.942237,0.132972,5.867185,0.554371
cuda,BartForCausalLM,4,1.647604,5.960193,1.780657,8.137114,2.775503,1.072065,0.200846,2.251442,4.042247
cuda,BartForConditionalGeneration,2,4.793838,13.780989,4.561167,18.317339,7.385124,3.213469,0.769500,1.857861,9.316693
cuda,BertForMaskedLM,64,2.337575,6.279857,1.892145,8.438622,3.269300,1.178093,0.230343,4.138351,2.530239
cuda,BertForQuestionAnswering,128,2.236257,6.156194,1.815270,8.438562,2.938561,1.153845,0.232664,4.187353,1.374259
cuda,BigBird,1,9.624101,5.347510,1.162430,8.876910,2.116633,0.902497,0.179761,4.788156,0.547346
cuda,BlenderbotSmallForCausalLM,64,1.124339,3.522329,1.239277,5.678355,2.027294,0.789708,0.132837,3.451843,4.340597
cuda,BlenderbotSmallForConditionalGeneration,64,3.003448,7.916295,2.763275,11.843566,5.313528,1.953227,0.456695,3.463869,6.834746
cuda,CamemBert,1,2.285763,6.073113,1.592470,8.181279,3.037357,1.076356,0.225900,3.787812,0.955925
cuda,DebertaForMaskedLM,4,6.451890,12.222084,2.768440,15.903395,4.527821,1.808145,0.302018,1.241421,6.651300
cuda,DebertaForQuestionAnswering,8,6.211469,12.128063,2.902205,15.769368,4.137114,1.784946,0.298006,3.282736,6.742951
cuda,DistilBertForMaskedLM,64,0.840319,3.249539,1.236946,4.642674,1.674729,0.624450,0.105576,2.677360,2.581456
cuda,DistilBertForQuestionAnswering,64,0.857903,3.187186,1.174905,4.567805,1.600945,0.609227,0.103341,2.602634,2.083205
cuda,DistillGPT2,1,1.011280,2.725917,0.733652,4.426079,1.362270,0.564840,0.090084,2.474722,7.395893
cuda,ElectraForCausalLM,32,2.269499,8.381310,1.905792,11.803899,3.449214,1.248783,0.238480,4.520632,5.420244
cuda,ElectraForQuestionAnswering,64,2.233732,6.138733,2.067620,8.113183,2.953333,1.170851,0.235914,4.135235,2.575892
cuda,GPT2ForSequenceClassification,4,2.101979,4.356868,1.683858,6.667849,2.426900,1.406309,0.207165,4.078043,1.841024
cuda,GoogleFnet,1,1.145338,4.943703,0.922042,8.063588,1.714722,0.686594,0.114796,4.099238,1.068623
cuda,LayoutLMForMaskedLM,16,2.577939,6.277244,2.161747,8.263724,3.052710,1.193541,0.239213,4.241071,2.457328
cuda,LayoutLMForSequenceClassification,16,2.600236,6.173945,2.418237,9.401135,3.378903,1.393119,0.231366,5.739083,13.097257
cuda,M2M100ForConditionalGeneration,8,5.092743,11.415898,4.204790,17.766136,6.273469,2.787151,0.654965,28.042456,10.775224
cuda,MBartForCausalLM,32,1.711461,7.560996,1.851374,10.378174,2.930748,1.485936,0.217418,2.043293,4.750947
cuda,MBartForConditionalGeneration,16,4.542941,13.674287,4.680287,18.739428,7.617069,3.482323,0.855368,0.568871,9.964521
cuda,MT5ForConditionalGeneration,8,4.669425,6.399485,3.650121,9.356088,3.862267,1.678671,0.442009,6.773494,7.612856
cuda,MegatronBertForCausalLM,16,4.486560,8.633467,3.909189,11.771792,6.299354,2.285745,0.599506,7.225965,2.348001
cuda,MegatronBertForQuestionAnswering,16,4.528624,8.479252,3.493383,11.600172,6.202543,2.268994,0.587731,7.164921,1.752564
cuda,MobileBertForMaskedLM,32,10.651164,6.293305,3.826802,15.772332,7.825691,3.515528,1.693892,13.604654,4.173282
cuda,MobileBertForQuestionAnswering,64,10.568676,6.240963,3.711038,15.661800,7.809981,3.492098,1.712155,13.430864,2.587560
cuda,OPTForCausalLM,32,1.754751,4.724784,1.580064,7.543449,3.133071,1.224271,0.216189,4.481371,1.864073
cuda,PLBartForCausalLM,32,0.896958,4.567038,1.247658,6.610511,1.740021,0.647772,0.100763,2.572179,3.338851
cuda,PLBartForConditionalGeneration,16,2.307920,7.514253,2.354661,11.500503,4.468182,1.594341,0.329381,4.217584,6.456909
cuda,PegasusForCausalLM,32,1.920129,6.430129,1.796187,9.360075,2.849214,1.169838,0.216195,2.700934,4.810502
cuda,PegasusForConditionalGeneration,16,4.512997,11.910260,4.122077,17.170573,7.692619,2.961460,0.638267,2.040626,9.595686
cuda,RobertaForCausalLM,64,2.248213,6.424100,1.894828,8.517426,3.368305,1.215115,0.235173,0.784604,4.078238
cuda,RobertaForQuestionAnswering,128,2.282756,6.236329,1.843458,8.361385,3.235452,1.177989,0.228906,4.056630
cuda,Speech2Text2ForCausalLM,128,0.945382,4.712058,0.791470,7.368173,1.426663,0.597417,0.095061,2.657982,3.489813
cuda,T5ForConditionalGeneration,4,3.188392,6.517335,1.852908,9.644650,3.065083,1.640340,0.274816,7.523991,5.092904
cuda,T5Small,1,3.153937,6.215585,1.536209,9.186611,3.182368,1.135550,0.270170,13.625540,4.622680
cuda,TrOCRForCausalLM,32,1.656292,6.106906,1.820241,8.947759,2.893588,1.469043,0.214770,2.300733,4.743125
cuda,XGLMForCausalLM,8,3.833952,15.672080,4.113580,20.540746,7.662059,2.316934,0.587217,48.642686,9.169895
cuda,YituTechConvBert,1,3.267000,8.698609,3.026186,12.657377,3.968938,1.529828,0.377372,21.828431,7.120790
