dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.000335,3.375597,1.787588,7.499139,3.038221,1.031839,0.136136,5.986166,0.923621
cuda,AlbertForQuestionAnswering,4,1.831043,3.323347,1.730072,7.640304,2.961331,1.009591,0.130458,6.120923,0.540562
cuda,AllenaiLongformerBase,4,8.672098,77.052445,6.925430,83.269516,62.247515,4.534214,0.388101,0.651123,13.435694
cuda,BartForCausalLM,4,1.962078,5.434063,2.117723,8.167956,2.491640,1.123680,0.218643,1.432892,4.933859
cuda,BartForConditionalGeneration,2,5.222455,13.021801,4.526038,18.695168,7.861283,2.870883,0.802364,1.108390,10.822084
cuda,BertForMaskedLM,16,2.374055,5.855367,1.745724,8.699219,2.600902,1.821363,0.245066,4.675552,1.478485
cuda,BertForQuestionAnswering,16,2.446956,5.755857,1.734062,8.526886,2.594424,1.781341,0.242911,4.588454,1.010300
cuda,BlenderbotForCausalLM,4,3.927629,9.429560,3.852320,14.164186,5.527505,2.370074,0.581392,4.127097,8.742617
cuda,BlenderbotSmallForCausalLM,64,1.226175,3.105358,1.299815,5.539978,2.008958,0.841083,0.141667,3.788958,2.061470
cuda,BlenderbotSmallForConditionalGeneration,64,3.338648,7.704669,3.117094,11.827214,4.890624,2.054104,0.483990,1.924401,7.704638
cuda,CamemBert,16,2.369854,5.812153,1.753840,8.533738,3.161273,1.230048,0.246793,4.560071,0.376641
cuda,DebertaForMaskedLM,4,6.652276,15.099353,2.550981,18.636063,3.821828,2.067150,0.304033,0.824077,6.282294
cuda,DebertaForQuestionAnswering,8,6.953593,15.269896,2.390816,18.970037,4.429999,1.854107,0.304409,1.795554,6.285923
cuda,DebertaV2ForMaskedLM,1,10.593001,18.590105,2.768147,22.410574,4.732877,2.293202,0.533940,1.413924,7.116325
cuda,DebertaV2ForQuestionAnswering,2,10.869244,17.601401,3.236357,22.095976,5.519707,2.666901,0.531950,0.507202,8.048075
cuda,DistilBertForMaskedLM,128,0.935726,3.107525,0.936456,4.948620,1.405649,0.867049,0.108087,2.820500,1.189320
cuda,DistilBertForQuestionAnswering,256,0.949130,3.021749,0.926081,4.954792,1.626899,0.673350,0.105359,2.902710,0.591001
cuda,DistillGPT2,16,1.126779,4.749129,1.000803,6.614545,1.742166,0.671839,0.097353,2.696406,2.908351
cuda,ElectraForCausalLM,32,2.401894,7.857995,1.730432,11.838765,3.219101,1.281120,0.244508,2.557320,5.801887
cuda,ElectraForQuestionAnswering,64,2.445702,5.814282,1.729863,8.635282,3.156080,1.239787,0.244915,4.634722,1.310291
cuda,GPT2ForSequenceClassification,4,2.470263,4.614069,2.437374,6.646091,2.513356,1.200998,0.214508,4.553520,0.956323
cuda,GoogleFnet,16,1.291768,10.117326,1.234614,13.334974,1.568409,1.034400,0.104620,1.752248,4.515820
cuda,LayoutLMForMaskedLM,16,2.732875,5.863506,1.785849,8.654763,3.215033,1.247411,0.246108,4.661754,1.468892
cuda,LayoutLMForSequenceClassification,16,2.720817,5.842190,1.767870,10.281180,3.922647,1.481006,0.243491,6.292708,6.709062
cuda,M2M100ForConditionalGeneration,16,5.213033,12.166576,4.453498,18.967525,7.021089,3.137676,0.671142,8.504946,11.842705
cuda,MBartForCausalLM,4,1.931601,6.996052,2.104718,9.665791,2.506548,1.148439,0.216852,1.327492,4.855867
cuda,MBartForConditionalGeneration,2,4.978032,12.533881,4.898893,17.669336,7.397460,3.333438,0.819363,0.474008,10.240775
cuda,MT5ForConditionalGeneration,16,5.072028,8.352193,3.140274,13.731680,5.727883,1.881009,0.442189,20.582509,9.013189
cuda,MegatronBertForCausalLM,4,4.635350,7.567259,3.965145,11.310155,5.621441,2.406260,0.628906,8.304108,0.415286
cuda,MegatronBertForQuestionAnswering,8,4.826366,7.378752,3.847603,11.157675,5.553764,2.337112,0.646117,8.179335,0.616625
cuda,MobileBertForMaskedLM,64,10.646025,6.988107,4.636589,17.872751,9.435345,3.690337,1.891435,15.816855,1.749269
cuda,MobileBertForQuestionAnswering,128,10.829182,6.991205,5.079683,19.237429,9.900501,4.200347,2.281394,17.621855,1.019207
cuda,OPTForCausalLM,2,2.046753,5.620491,2.166389,8.274357,2.987962,1.311423,0.229329,1.706018,4.897307
cuda,PLBartForCausalLM,8,0.955019,4.213109,0.942675,6.504155,1.675146,0.679410,0.104633,1.162305,3.276140
cuda,PLBartForConditionalGeneration,4,2.698858,6.904912,3.040782,11.285304,4.329872,1.705297,0.360029,1.656756,7.535933
cuda,PegasusForCausalLM,32,1.882075,6.021426,2.259737,9.155351,2.592737,1.247895,0.232840,1.588621,5.474862
