dev,suite,name,graphs,batch_size,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,torchbench,vision_maskrcnn,245.0,4,265.0,3983.0,12173.0,0.3272,0.4698,13.738
cuda,huggingface,DebertaV2ForMaskedLM,163.0,4,99.0,956.0,1037.0,0.9219,0.7837,6.3303
cuda,huggingface,DebertaV2ForQuestionAnswering,163.0,4,99.0,959.0,1042.0,0.9203,0.7855,6.3273
cuda,torchbench,detectron2_maskrcnn,122.0,2,120.0,1239.0,1778.0,0.6969,0.7045,4.9637
cuda,huggingface,DebertaForQuestionAnswering,111.0,16,51.0,797.0,840.0,0.9488,0.7786,3.4372
cuda,huggingface,DebertaForMaskedLM,111.0,16,51.0,786.0,828.0,0.9493,0.7653,3.4221
cuda,torchbench,hf_BigBird,64.0,1,75.0,5437.0,5516.0,0.9857,0.9687,7.5761
cuda,huggingface,BigBird,64.0,1,75.0,5457.0,5526.0,0.9875,0.9719,7.6089
cuda,huggingface,GoogleFnet,27.0,1,27.0,242.0,280.0,0.8643,0.8138,0.8513
cuda,timm_models,convit_base,26.0,64,26.0,381.0,540.0,0.7056,0.6525,0.7736
cuda,torchbench,maml,23.0,1,23.0,749.0,1190.0,0.6294,0.5857,9.7208
cuda,timm_models,densenet121,13.0,128,13.0,565.0,571.0,0.9895,0.9959,6.3614
cuda,torchbench,moco,11.0,32,7.0,0.0,-5.0,0.0,0.0,2.0951
cuda,huggingface,M2M100ForConditionalGeneration,7.0,4,7.0,1320.0,1321.0,0.9992,0.997,5.8287
cuda,torchbench,hf_Reformer,7.0,1,7.0,591.0,603.0,0.9801,0.9909,2.9616
cuda,huggingface,PegasusForConditionalGeneration,7.0,8,7.0,1306.0,1309.0,0.9977,0.9983,6.0237
cuda,torchbench,fastNLP_Bert,6.0,1,6.0,479.0,549.0,0.8725,0.9105,4.2607
cuda,torchbench,yolov3,5.0,16,3.0,323.0,324.0,0.9969,0.9962,15.1349
cuda,huggingface,PegasusForCausalLM,4.0,16,4.0,505.0,506.0,0.998,0.9967,2.3495
cuda,huggingface,Speech2Text2ForCausalLM,4.0,64,4.0,281.0,282.0,0.9965,0.9977,1.0606
cuda,huggingface,XGLMForCausalLM,4.0,4,4.0,1001.0,1003.0,0.998,0.9977,6.0176
cuda,huggingface,AllenaiLongformerBase,4.0,1,4.0,3345.0,3347.0,0.9994,0.9956,9.2
cuda,torchbench,tts_angular,4.0,64,4.0,22.0,30.0,0.7333,0.8655,0.4355
cuda,torchbench,speech_transformer,4.0,1,4.0,1091.0,1201.0,0.9084,0.9338,2.9347
cuda,torchbench,hf_Longformer,4.0,1,4.0,3311.0,3313.0,0.9994,0.9951,9.516
cuda,huggingface,GPT2ForSequenceClassification,2.0,4,2.0,739.0,739.0,1.0,0.9987,4.2506
cuda,huggingface,GPTNeoForSequenceClassification,2.0,4,2.0,1276.0,1277.0,0.9992,0.9995,7.2053
cuda,huggingface,LayoutLMForSequenceClassification,2.0,16,2.0,454.0,455.0,0.9978,0.9955,4.9788
cuda,torchbench,tacotron2,0.0,0,,,,,,
cuda,torchbench,pyhpc_isoneutral_mixing,0.0,0,,,,,,
cuda,torchbench,fambench_xlmr,0.0,0,,,,,,
cuda,torchbench,dlrm,0.0,0,,,,,,
cuda,torchbench,Super_SloMo,0.0,0,,,,,,
