dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,12.830755,11.245066,3.922445,2.030607,8.511237,2.941291,1.127540,0.148630,6.706034,0.824692
cuda,AlbertForQuestionAnswering,4,13.039241,11.427311,4.025898,2.040823,8.658987,3.016950,1.136332,0.145542,6.765725,0.434150
cuda,AllenaiLongformerBase,4,54.137909,47.057736,28.417173,7.684410,33.839710,15.410502,4.959059,0.420976,0.654809,13.422209
cuda,BartForCausalLM,4,15.517022,13.975811,6.402979,1.954550,9.454865,3.085167,1.372456,0.272719,2.156987,5.288369
cuda,BartForConditionalGeneration,2,38.055534,33.905939,14.314346,6.342303,19.625062,8.191263,3.520380,1.057274,1.196525,11.902745
cuda,BertForMaskedLM,16,14.716729,12.938128,5.095029,2.067901,7.779217,3.505020,1.488097,0.297256,4.850035,1.428906
cuda,BertForQuestionAnswering,16,14.790287,13.021290,5.143378,2.054093,7.787382,3.510301,1.482353,0.292947,4.796413,0.997362
cuda,BlenderbotForCausalLM,4,26.147020,23.020070,8.325963,4.645639,14.795763,7.078740,2.908743,0.836941,11.305378,3.784729
cuda,BlenderbotSmallForCausalLM,64,9.616827,8.586014,3.616045,1.538121,5.859147,2.023336,0.990626,0.174469,4.003807,2.515559
cuda,BlenderbotSmallForConditionalGeneration,64,24.639701,22.007899,8.990270,3.671344,13.207626,5.575227,2.481616,0.592550,1.881516,8.049879
cuda,CamemBert,16,15.048383,13.232406,5.167548,2.086418,7.847076,3.546740,1.490578,0.297127,4.864166,0.331718
cuda,DebertaForMaskedLM,4,28.750304,23.328862,13.772110,3.019453,17.622454,4.702138,2.696708,0.349769,0.902739,7.346833
cuda,DebertaForQuestionAnswering,8,29.898583,24.100634,14.434150,3.043678,18.379378,4.962142,2.247492,0.352473,1.794074,7.210424
cuda,DebertaV2ForMaskedLM,1,43.341231,33.760710,16.719956,3.946457,21.930968,6.682968,3.092478,0.623824,1.626690,9.533308
cuda,DebertaV2ForQuestionAnswering,2,42.895031,33.267159,16.420164,4.259613,21.486498,7.472549,3.412025,0.620179,0.572983,9.687839
cuda,DistilBertForMaskedLM,128,8.132677,7.356700,3.310680,1.097624,5.316196,2.027583,0.806420,0.125147,3.153606,1.139943
cuda,DistilBertForQuestionAnswering,256,8.276412,7.474735,3.332411,1.088028,5.488785,2.062380,0.809186,0.120033,3.296064,0.551337
cuda,DistillGPT2,16,8.647015,7.734666,4.106142,1.196207,6.059230,1.819524,0.775541,0.112624,2.320865,3.196655
cuda,ElectraForCausalLM,32,16.931854,15.088304,7.073752,2.076412,10.582297,3.463844,1.840719,0.298947,2.577708,5.686806
cuda,ElectraForQuestionAnswering,64,15.152618,13.322329,5.229625,2.076687,7.939133,3.587361,1.516375,0.295899,4.889030,1.291222
cuda,GPT2ForSequenceClassification,4,14.457539,12.629434,5.552699,2.790170,7.453263,2.916899,1.422463,0.255265,5.170390,1.395056
cuda,LayoutLMForMaskedLM,16,15.168725,12.977732,5.108661,2.098292,7.932391,3.578498,1.503541,0.298853,5.021286,1.431880
cuda,LayoutLMForSequenceClassification,16,15.241976,13.060236,5.181628,2.335398,8.943638,3.935910,1.716027,0.295515,6.197003,5.851261
cuda,M2M100ForConditionalGeneration,16,34.755238,30.757559,12.838199,5.446399,20.732167,7.478687,4.090837,0.788841,11.523646,13.568122
cuda,MBartForCausalLM,4,15.592662,14.084684,6.598806,2.039150,9.835730,3.215907,1.414354,0.290420,2.279186,5.804178
cuda,MBartForConditionalGeneration,2,37.049711,32.932226,13.358860,6.472164,19.987970,8.655861,4.409712,1.153656,0.591990,13.350924
cuda,MT5ForConditionalGeneration,16,25.882867,22.259787,9.151054,3.995848,15.637271,6.500389,2.198202,0.475906,20.077502,10.674491
cuda,MegatronBertForCausalLM,4,28.586201,24.862146,9.627130,5.209869,14.625862,6.823973,2.995615,0.858621,10.407507,0.413646
cuda,MegatronBertForQuestionAnswering,8,28.790220,25.024299,9.741907,4.771136,14.611226,7.311732,2.956921,0.866249,9.839663,0.511215
cuda,MobileBertForMaskedLM,64,48.085669,40.052819,11.457601,7.306104,23.913168,13.144983,5.054672,2.893870,20.518831,1.715245
cuda,MobileBertForQuestionAnswering,128,48.189123,40.157039,11.413587,7.756198,25.136278,13.590736,5.555950,3.130202,22.225718,1.030578
cuda,OPTForCausalLM,2,15.323106,13.729172,6.394029,2.268029,9.704610,3.716891,1.587502,0.280466,2.982903,5.928815
cuda,PLBartForCausalLM,8,9.562044,8.750341,4.706141,1.073941,6.925797,1.804509,0.779239,0.120750,1.516908,3.341587
cuda,PLBartForConditionalGeneration,4,20.099422,18.047865,7.728513,2.944370,11.825438,4.663669,1.973448,0.410844,2.710884,7.168455
cuda,PegasusForCausalLM,32,15.456829,13.694432,6.365594,2.041133,10.181686,3.318171,1.503419,0.306261,2.441232,6.384543
cuda,PegasusForConditionalGeneration,32,37.133884,32.550570,12.190248,5.267891,20.477498,9.031629,3.759117,0.852361,0.649279,13.801945
cuda,RobertaForCausalLM,16,15.652472,13.857497,5.892634,2.078826,8.400999,3.611804,1.510243,0.293196,0.699844,4.685984
cuda,RobertaForQuestionAnswering,16,14.737544,12.949739,5.104993,2.046657,7.416839,3.499116,1.473740,0.291435,4.455030
cuda,Speech2Text2ForCausalLM,256,9.564136,8.697270,4.960979,0.913673,7.521770,1.478952,0.913146,0.115751,1.342932,3.523025
cuda,T5ForConditionalGeneration,4,18.282506,15.715208,7.111139,2.696498,10.576154,3.950054,1.592974,0.297417,6.451756,6.584965
cuda,T5Small,4,18.495123,15.915467,7.193075,2.738780,10.851157,4.202534,1.584913,0.298242,6.866454,6.523485
cuda,TrOCRForCausalLM,32,15.422199,13.905059,6.453985,1.956130,9.766607,3.203968,1.466165,0.289859,1.323200,5.550360
cuda,XGLMForCausalLM,8,30.749091,27.379868,11.626373,4.951832,18.526188,7.085533,3.299508,0.801828,31.947271,12.066706
cuda,XLNetLMHeadModel,8,43.254263,38.918327,17.043766,7.382516,21.067487,11.797956,3.322957,0.824444,7.923214,12.398420
cuda,YituTechConvBert,16,23.360963,20.574796,8.512610,3.805787,13.905065,5.440278,2.249459,0.490855,7.876386,9.352741
