dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForQuestionAnswering,4,1.736736,8.189516,3.318972,1.691362,7.607974,2.922851,0.998760,0.131226,1.171124,7.229214,0.513554
cuda,BartForCausalLM,4,1.939121,10.258940,5.463931,1.854997,8.475506,2.464880,1.132948,0.215748,1.362151,1.490679,6.310246
cuda,BartForConditionalGeneration,2,5.031384,25.877207,12.956157,4.492383,18.571996,7.722957,2.866027,0.808401,0.978022,1.152636,11.301933
cuda,BertForMaskedLM,16,2.539953,11.127381,5.548697,1.790400,8.331450,2.912157,1.275706,0.246458,1.938148,6.599262,1.379488
cuda,BertForQuestionAnswering,16,2.394952,10.995879,5.759226,1.739335,8.543323,2.892643,1.499865,0.240906,1.457603,6.068439,1.006930
cuda,BlenderbotSmallForCausalLM,64,1.245955,6.626276,3.226847,1.310463,5.451390,1.805283,0.839914,0.141100,2.464446,6.055010,2.061995
cuda,BlenderbotSmallForConditionalGeneration,64,3.349329,16.021736,7.522979,3.072463,11.590894,4.855906,2.056262,0.475571,2.081331,1.965380,9.366182
cuda,CamemBert,16,2.347021,11.043674,5.796998,1.771662,8.518930,3.166401,1.243066,0.244123,0.930964,5.512176,0.342727
cuda,DebertaForMaskedLM,4,6.735121,21.952387,15.328580,2.489753,18.930367,3.846354,1.888139,0.306944,15.148088,0.851730,21.470014
cuda,DebertaForQuestionAnswering,8,6.731609,22.203779,15.714002,2.468609,19.202511,3.807026,1.870771,0.306686,16.224342,1.768131,22.407184
cuda,DebertaV2ForMaskedLM,1,10.614206,29.258528,18.752863,2.833782,22.680170,4.301530,2.304651,0.526134,34.426660,1.561908,41.555189
cuda,DebertaV2ForQuestionAnswering,2,10.691469,28.743605,18.156769,3.286128,22.575063,5.068862,2.686880,0.527193,34.360399,0.509500,42.431139
cuda,DistilBertForMaskedLM,128,0.939137,5.857734,3.044493,0.936888,4.838261,1.422851,0.869175,0.108452,1.492384,4.268413,1.176511
cuda,DistilBertForQuestionAnswering,256,0.940681,5.743615,2.974939,0.912827,4.934230,1.629516,0.653583,0.133474,0.923065,3.843631,0.575417
cuda,DistillGPT2,16,1.104808,6.951818,4.387178,0.990317,6.192247,1.570448,0.660504,0.097333,2.041773,2.682170,4.878578
cuda,ElectraForCausalLM,32,2.385220,12.810105,7.561176,1.719096,11.328882,2.728612,1.556279,0.244520,3.197469,2.626016,8.773755
cuda,ElectraForQuestionAnswering,64,2.341330,10.848010,5.684847,1.728158,8.346311,3.069253,1.231638,0.244009,1.904679,6.383217,1.321416
cuda,GPT2ForSequenceClassification,4,2.340983,9.067384,4.389587,2.059593,6.576647,2.459428,1.431731,0.209191,1.281487,5.609033,1.022320
cuda,GoogleFnet,16,1.277038,12.188613,9.631085,1.210624,12.497846,1.556489,0.646387,0.102997,3.814505,1.762968,7.957922
cuda,LayoutLMForMaskedLM,16,2.704541,11.143116,5.766989,1.799135,8.506490,3.150336,1.252074,0.249631,1.992221,6.622725,1.440537
