dev,suite,name,graphs,batch_size,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,torchbench,vision_maskrcnn,245.0,4,265.0,3991.0,12173.0,0.3279,0.4714,14.2378
cuda,huggingface,DebertaV2ForMaskedLM,163.0,4,99.0,952.0,1039.0,0.9163,0.7856,6.5102
cuda,huggingface,DebertaV2ForQuestionAnswering,163.0,4,99.0,949.0,1031.0,0.9205,0.7842,6.4813
cuda,torchbench,detectron2_maskrcnn,123.0,2,120.0,1219.0,1761.0,0.6922,0.7467,4.9659
cuda,huggingface,DebertaForQuestionAnswering,111.0,16,51.0,777.0,814.0,0.9545,0.7736,3.5253
cuda,huggingface,DebertaForMaskedLM,111.0,16,51.0,788.0,829.0,0.9505,0.7763,3.5906
cuda,torchbench,hf_BigBird,64.0,1,75.0,5499.0,5571.0,0.9871,0.9702,7.9576
cuda,huggingface,BigBird,64.0,1,75.0,5465.0,5535.0,0.9874,0.9709,7.8402
cuda,huggingface,GoogleFnet,27.0,1,27.0,241.0,280.0,0.8607,0.8236,0.8751
cuda,timm_models,convit_base,26.0,64,26.0,376.0,526.0,0.7148,0.6622,0.7815
cuda,torchbench,maml,23.0,1,23.0,751.0,1198.0,0.6269,0.581,10.3199
cuda,timm_models,densenet121,13.0,128,13.0,565.0,571.0,0.9895,0.9959,6.612
cuda,torchbench,moco,11.0,32,7.0,0.0,-5.0,0.0,0.0,2.1118
cuda,huggingface,M2M100ForConditionalGeneration,7.0,4,7.0,1321.0,1324.0,0.9977,0.9975,6.1592
cuda,huggingface,PegasusForConditionalGeneration,7.0,8,7.0,1292.0,1296.0,0.9969,0.998,6.3521
cuda,torchbench,hf_Reformer,6.0,1,6.0,627.0,632.0,0.9921,0.9911,2.8298
cuda,torchbench,fastNLP_Bert,6.0,1,6.0,473.0,545.0,0.8679,0.9116,4.4786
cuda,torchbench,yolov3,5.0,16,3.0,328.0,329.0,0.997,0.9969,15.8491
cuda,huggingface,PegasusForCausalLM,4.0,16,4.0,511.0,513.0,0.9961,0.9962,2.4343
cuda,huggingface,Speech2Text2ForCausalLM,4.0,64,4.0,282.0,282.0,1.0,0.9976,1.0896
cuda,huggingface,XGLMForCausalLM,4.0,4,4.0,1012.0,1013.0,0.999,0.9975,6.2992
cuda,huggingface,AllenaiLongformerBase,4.0,1,4.0,3304.0,3305.0,0.9997,0.995,9.6682
cuda,torchbench,tts_angular,4.0,64,4.0,22.0,30.0,0.7333,0.8442,0.4538
cuda,torchbench,speech_transformer,4.0,1,4.0,1110.0,1219.0,0.9106,0.9346,3.0228
cuda,torchbench,hf_Longformer,4.0,1,4.0,3329.0,3331.0,0.9994,0.995,9.8444
cuda,huggingface,GPT2ForSequenceClassification,2.0,4,2.0,733.0,733.0,1.0,0.9986,4.475
cuda,huggingface,GPTNeoForSequenceClassification,2.0,4,2.0,1275.0,1275.0,1.0,0.9993,7.7439
cuda,huggingface,LayoutLMForSequenceClassification,2.0,16,2.0,456.0,456.0,1.0,0.9962,5.2119
cuda,torchbench,tacotron2,0.0,0,,,,,,
cuda,torchbench,pyhpc_isoneutral_mixing,0.0,0,,,,,,
cuda,torchbench,fambench_xlmr,0.0,0,,,,,,
cuda,torchbench,dlrm,0.0,0,,,,,,
cuda,torchbench,Super_SloMo,0.0,0,,,,,,
