dev,name,batch_size,total_aot_graphs,ok_aot_graphs
cuda,BERT_pytorch,16,1,1
cuda,Background_Matting,4,1,1
cuda,LearningToPaint,96,1,1
cuda,alexnet,128,1,1
cuda,attention_is_all_you_need_pytorch,256,1,1
cuda,dcgan,32,1,1
cuda,demucs,4,1,0
cuda,densenet121,4,1,1
cuda,hf_Albert,8,1,1
cuda,hf_Bart,4,1,1
cuda,hf_Bert,4,1,1
cuda,hf_BigBird,2,64,52
cuda,hf_DistilBert,8,1,1
cuda,hf_GPT2,4,1,1
cuda,hf_Longformer,2,4,3
cuda,hf_T5,8,1,1
cuda,maml_omniglot,1,1,1
cuda,mnasnet1_0,32,1,1
cuda,mobilenet_v2,96,1,1
cuda,mobilenet_v3_large,32,1,1
cuda,moco,32,10,1
cuda,nvidia_deeprecommender,256,1,1
cuda,pytorch_stargan,16,1,1
cuda,pytorch_struct,200,1,1
cuda,pytorch_unet,1,1,1
cuda,resnet18,16,1,1
cuda,resnet50,32,1,1
cuda,resnext50_32x4d,8,1,1
cuda,shufflenet_v2_x1_0,128,1,1
cuda,speech_transformer,32,4,1
cuda,squeezenet1_1,32,1,1
cuda,timm_efficientnet,32,1,1
cuda,timm_regnet,32,1,1
cuda,timm_resnest,32,1,1
cuda,timm_vision_transformer,8,1,1
cuda,timm_vovnet,32,1,1
cuda,tts_angular,64,4,1
cuda,vgg16,64,1,1
cuda,vision_maskrcnn,4,229,139
cuda,yolov3,16,5,1
