dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,10.513395,9.149989,3.476579,1.877427,7.443994,3.069185,1.035351,0.135917,5.920827,0.920536
cuda,AlbertForQuestionAnswering,4,10.609681,9.217144,3.446846,1.828025,7.697728,3.027606,1.030158,0.134891,6.154979,0.539751
cuda,AllenaiLongformerBase,4,53.964744,46.904801,28.420700,7.270219,34.313693,15.155772,5.141757,0.410425,0.665024,13.756770
cuda,BartForCausalLM,4,13.106153,11.622845,5.860733,1.846765,9.150988,2.921324,1.252672,0.237409,1.444184,5.219196
cuda,BartForConditionalGeneration,2,32.609395,28.964869,13.874420,5.580195,19.446528,8.080778,3.080255,0.886887,1.152356,11.363840
cuda,BertForMaskedLM,16,12.466397,10.722780,4.335504,1.937528,7.400136,3.110348,1.282587,0.241503,5.343904,1.467341
cuda,BertForQuestionAnswering,16,12.871267,11.059394,4.611020,1.925122,7.680717,3.140360,1.283627,0.237778,5.080408,1.030986
cuda,BlenderbotForCausalLM,4,24.382686,21.590897,10.194225,3.995414,14.930552,6.100348,2.456180,0.601408,4.158195,8.893827
cuda,BlenderbotSmallForCausalLM,64,8.131653,7.223210,3.227272,1.381251,5.605144,2.072644,0.860298,0.148227,3.814896,2.019214
cuda,BlenderbotSmallForConditionalGeneration,64,20.931112,18.403476,8.280288,3.335239,12.706550,5.055262,2.514648,0.493917,1.815551,7.900898
cuda,CamemBert,16,12.504697,10.737914,4.523138,2.389365,7.326802,2.886335,1.546965,0.241330,5.280743,0.366327
cuda,DebertaForMaskedLM,4,26.278628,20.428416,12.085431,2.618154,16.003425,4.183375,1.906508,0.328123,0.833358,6.747953
cuda,DebertaForQuestionAnswering,8,26.253537,20.351266,12.033928,2.584491,16.096271,4.182294,2.074450,0.325191,1.801293,6.855933
cuda,DebertaV2ForMaskedLM,1,36.451915,27.528272,14.360913,2.916851,18.391706,4.629619,2.149678,0.543246,1.534875,7.271027
cuda,DebertaV2ForQuestionAnswering,2,35.652322,27.049280,13.869943,4.078198,17.948197,5.414754,2.672193,0.552185,0.505187,8.491469
cuda,DistilBertForMaskedLM,128,7.051290,6.365263,2.975580,1.031419,4.876359,1.694843,0.680533,0.108050,2.976214,1.186918
cuda,DistilBertForQuestionAnswering,256,7.103765,6.416042,2.946923,1.015294,5.057798,1.740582,0.687162,0.105895,3.171314,0.588073
cuda,DistillGPT2,16,9.712358,8.862273,5.560656,1.113949,7.517071,1.562165,0.924412,0.095402,2.144397,3.111943
cuda,ElectraForCausalLM,32,14.195863,12.394639,6.104502,2.385557,11.628853,3.036264,1.344269,0.239856,3.324190,8.000870
cuda,ElectraForQuestionAnswering,64,12.458958,10.715278,4.539438,1.935161,9.624947,3.139924,1.275175,0.243547,7.514964,1.765262
cuda,GPT2ForSequenceClassification,4,14.821092,13.016807,7.191098,2.611167,9.479993,2.813507,1.258894,0.208696,1.506346,4.983506
cuda,GoogleFnet,16,10.238861,9.289813,6.087506,1.157083,9.960354,1.952192,0.648163,0.107264,1.782906,5.090709
cuda,LayoutLMForMaskedLM,16,15.198550,13.128716,6.482183,2.017543,9.694646,3.492790,1.315927,0.245071,1.883013,5.319182
cuda,LayoutLMForSequenceClassification,16,14.965655,12.938122,6.385510,1.964486,11.417668,4.023386,1.525427,0.240802,7.127986,7.083657
cuda,M2M100ForConditionalGeneration,16,30.912793,27.258952,12.478636,4.651654,19.741609,7.777323,3.211351,0.680681,8.518692,12.126631
cuda,MBartForCausalLM,4,14.581433,13.015123,7.280506,1.866793,10.545321,2.940413,1.271391,0.240037,1.331701,5.213221
cuda,MBartForConditionalGeneration,2,31.708009,27.997326,12.925049,5.221974,18.456670,8.099592,3.158019,0.922131,0.525872,11.282107
cuda,MT5ForConditionalGeneration,16,23.846326,20.242460,8.786100,3.503066,14.199850,5.846840,1.881493,0.456916,20.208130,9.084893
