dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BartForCausalLM,4,1.724097,6.239207,2.311100,8.719617,3.129179,1.141865,0.230436,1.292358,1.187780,6.171654
cuda,BartForConditionalGeneration,2,4.837952,15.459696,6.858864,20.816412,8.629281,3.496696,0.863267,2.780813,2.595293,15.230394
cuda,BertForMaskedLM,64,2.389059,6.643051,2.413760,9.202376,3.203136,1.241726,0.257564,2.819623,7.887047,2.127047
cuda,BlenderbotSmallForCausalLM,64,1.193952,3.512456,1.515832,5.778036,2.047282,0.857603,0.151430,2.393862,6.404032,2.030912
cuda,BlenderbotSmallForConditionalGeneration,64,3.213927,8.957142,4.357517,13.122153,5.609061,2.096089,0.519595,3.153784,2.794930,11.827442
cuda,CamemBert,1,2.355581,6.277074,2.115591,8.272653,2.937429,1.055089,0.232643,1.008206,5.211094,0.568388
cuda,DebertaForMaskedLM,4,6.302571,16.651010,2.978124,19.696498,4.013985,1.869684,0.312435,19.628310,0.833754,25.887383
cuda,DebertaForQuestionAnswering,8,6.693087,16.587871,2.957460,19.611197,3.976884,1.869745,0.313010,20.103515,1.780155,26.322477
cuda,DistilBertForMaskedLM,64,0.913345,3.454326,1.208638,5.510102,1.760148,0.644075,0.116808,2.489506,5.801623,2.080808
cuda,DistilBertForQuestionAnswering,64,0.914948,3.286439,1.162203,5.321803,1.693098,0.644901,0.115085,2.129685,5.374564,1.760134
cuda,DistillGPT2,1,1.055695,2.872606,0.841203,4.671834,1.212785,0.839497,0.099049,3.865528,6.550168,3.562147
cuda,ElectraForQuestionAnswering,64,2.476485,6.605525,2.421982,9.311394,3.243540,1.270078,0.264588,2.997279,8.227128,1.945977
cuda,GPT2ForSequenceClassification,4,2.085682,4.541244,2.217607,6.564933,2.448878,1.160847,0.215865,1.485026,5.814703,1.023427
cuda,GoogleFnet,1,1.232324,6.266608,0.983678,8.871935,1.436683,0.709035,0.117716,4.781778,8.436908,0.630465
cuda,LayoutLMForSequenceClassification,16,2.731086,6.615827,2.382434,10.297167,4.031673,1.493101,0.259776,8.252023,14.411941,7.680484
cuda,M2M100ForConditionalGeneration,8,4.780873,11.826718,4.901983,19.742499,6.834853,3.393942,0.679848,6.259094,15.169152,19.287062
cuda,MBartForCausalLM,32,1.785936,7.933105,2.411405,10.693582,3.333220,1.260933,0.249237,1.240165,1.052620,6.505631
cuda,MBartForConditionalGeneration,16,4.925716,14.156696,6.975673,20.099068,9.451386,3.160233,0.960013,2.620614,1.700045,15.777710
cuda,MT5ForConditionalGeneration,8,4.792924,7.114744,4.324283,11.956076,5.783572,1.790988,0.467605,7.348253,16.681868,6.623330
cuda,MegatronBertForCausalLM,16,4.557869,9.901560,5.837072,13.164698,6.521835,2.873966,0.656086,3.639952,12.926219,2.573127
cuda,MegatronBertForQuestionAnswering,16,4.652465,9.378692,5.857490,12.855285,6.653086,2.430836,0.657416,3.319458,12.839742,2.263654
cuda,MobileBertForMaskedLM,32,10.971108,7.227220,7.847753,17.381843,8.845379,3.654981,1.849666,6.544269,24.877172,4.902558
cuda,MobileBertForQuestionAnswering,64,10.944729,7.216340,7.721349,17.262027,8.872079,3.686414,1.835824,5.520664,23.619524,3.576677
cuda,OPTForCausalLM,32,1.863551,5.906858,2.386602,8.695562,3.229344,1.336249,0.239642,1.304188,1.381676,6.562506
cuda,PLBartForCausalLM,32,0.948774,4.588728,1.232188,6.859790,1.868970,0.676495,0.111693,1.040658,1.373641,4.590678
cuda,PLBartForConditionalGeneration,16,2.557963,7.838696,3.224920,11.816018,4.944036,1.720478,0.370522,3.539585,3.663881,11.104420
cuda,PegasusForCausalLM,32,1.814092,6.802417,2.299526,9.978253,3.179794,1.251151,0.242145,1.749333,1.325343,7.314784
cuda,PegasusForConditionalGeneration,16,4.611394,13.010693,5.688961,19.158482,7.358850,3.695321,0.701918,4.268805,2.327704,16.337652
cuda,RobertaForCausalLM,64,2.435430,6.835375,2.431640,9.113207,3.294699,1.276986,0.255700,1.689657,1.365136,6.493932
cuda,Speech2Text2ForCausalLM,128,0.981980,4.732654,0.905980,7.648139,1.437490,0.631524,0.108373,1.359249,1.303960,5.223821
cuda,T5ForConditionalGeneration,4,3.271092,7.128933,2.575183,12.784662,3.739808,1.739680,0.297637,3.264231,6.553164,11.835862
cuda,T5Small,1,3.272511,6.319828,2.158710,8.944869,2.792011,1.098238,0.277559,3.677404,8.212634,8.807673
cuda,TrOCRForCausalLM,32,1.767460,6.271502,2.398667,9.190376,3.312050,1.275544,0.250579,1.427579,1.185619,6.838500
cuda,XGLMForCausalLM,8,3.759332,17.042750,6.233683,21.854903,7.998581,2.992076,0.642483,3.912644,25.820358,15.149367
cuda,YituTechConvBert,1,3.450778,8.938220,3.566471,14.420263,4.403393,2.112599,0.433066,4.925059,10.170072,14.128985
