dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,10.115700,8.837145,3.478732,1.788547,7.681976,3.034171,1.036628,0.140442,6.067482,0.919467
cuda,AlbertForQuestionAnswering,4,10.154576,8.867413,3.476656,1.740129,7.796034,2.974197,1.013006,0.134754,6.134039,0.541199
cuda,AllenaiLongformerBase,4,52.747852,45.993962,28.985735,7.454628,34.147164,15.342345,4.324646,0.402565,0.660541,12.922964
cuda,BartForCausalLM,4,12.611900,11.365833,5.832355,1.765598,9.237915,2.869353,1.253185,0.238864,1.448519,5.251356
cuda,BartForConditionalGeneration,2,31.968834,28.381902,14.057057,5.394074,19.977121,8.270929,3.112157,0.899372,1.176805,11.524970
cuda,BertForMaskedLM,16,13.328119,11.555380,5.928669,2.065662,8.244439,2.713196,1.261676,0.251260,4.652461,1.462751
cuda,BertForQuestionAnswering,16,13.416439,11.684770,5.907740,2.261225,8.147198,2.666151,1.265035,0.247471,4.589671,1.030150
cuda,BlenderbotForCausalLM,4,23.701034,20.958985,10.101863,3.562476,15.038816,6.024732,2.432161,0.593262,4.085859,8.915347
cuda,BlenderbotSmallForCausalLM,64,8.148830,7.271758,3.365652,1.376214,5.919971,2.174350,0.870086,0.146778,3.989437,2.047672
cuda,BlenderbotSmallForConditionalGeneration,64,20.081495,17.685202,7.966724,3.178349,12.363812,5.020098,2.088128,0.494552,1.951344,7.715681
cuda,CamemBert,16,13.419919,11.687050,5.753514,1.796163,8.194420,2.662102,1.252159,0.249826,4.600117,0.377414
cuda,DebertaForMaskedLM,4,26.048926,20.707322,12.395494,2.646373,16.273142,4.172175,1.906023,0.319714,0.852263,6.730542
cuda,DebertaForQuestionAnswering,8,26.559978,21.371594,12.901444,2.723007,17.047052,4.331946,1.886128,0.314532,1.713134,7.081223
cuda,DebertaV2ForMaskedLM,1,35.743004,26.533937,14.252226,2.789995,19.053315,4.170893,2.820503,0.540490,1.466147,7.927826
cuda,DebertaV2ForQuestionAnswering,2,35.490329,26.821361,14.330006,3.294297,19.599261,5.951521,2.672418,0.542152,0.490946,8.888795
cuda,DistilBertForMaskedLM,128,6.771555,6.112091,2.964508,0.948176,4.757272,1.419562,0.671724,0.109734,3.002508,1.194681
cuda,DistilBertForQuestionAnswering,256,7.057123,6.376135,3.181068,0.937227,5.129021,1.441647,0.668027,0.108341,2.930102,0.577156
cuda,DistillGPT2,16,8.909115,8.078597,5.042663,1.019934,6.893818,1.750336,0.676866,0.096690,2.701508,2.913564
cuda,ElectraForCausalLM,32,15.471585,13.663694,7.857183,1.969323,11.176793,2.809628,1.320326,0.249957,2.605956,5.629004
cuda,ElectraForQuestionAnswering,64,13.198008,11.420752,5.676820,2.085852,7.946342,2.673105,1.261600,0.252576,4.646690,1.291616
cuda,GPT2ForSequenceClassification,4,12.040482,10.265775,4.752900,1.936718,7.293639,3.128009,1.206010,0.216412,4.557934,1.008797
cuda,GoogleFnet,16,10.301686,9.368294,6.196651,1.094038,10.362733,1.582459,0.884703,0.108616,1.759795,5.319060
cuda,LayoutLMForMaskedLM,16,13.954381,12.012648,6.042174,1.834120,8.876071,2.724235,1.581175,0.257466,4.756260,1.460477
cuda,LayoutLMForSequenceClassification,16,14.140879,12.109125,5.846430,1.827020,10.205714,3.438991,1.487032,0.248543,6.541702,6.558128
cuda,M2M100ForConditionalGeneration,16,30.382903,26.842863,12.574674,4.051021,20.645356,7.871913,3.831272,0.692462,8.628795,12.339217
cuda,MBartForCausalLM,4,14.130385,12.719150,7.239126,2.258295,10.065244,2.689881,1.271154,0.241556,1.345634,5.167706
cuda,MBartForConditionalGeneration,2,30.933992,27.466938,12.982096,5.100679,18.627116,8.136446,3.162570,0.914098,0.508267,11.262338
cuda,MT5ForConditionalGeneration,16,22.879103,19.428376,8.809595,3.195094,13.930293,5.894767,1.911137,0.460547,20.632970,8.755141
cuda,MegatronBertForCausalLM,4,22.293295,19.107695,7.713999,4.019476,11.859785,5.632676,2.923363,0.650270,8.334813,0.401924
