dev,suite,name,graphs,batch_size,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,torchbench,vision_maskrcnn,246.0,,266.0,3661.0,11351.0,0.3225,0.4418,14.5452
cuda,huggingface,DebertaV2ForQuestionAnswering,163.0,4.0,99.0,944.0,1014.0,0.931,0.7859,6.1793
cuda,huggingface,DebertaV2ForMaskedLM,163.0,4.0,99.0,955.0,1044.0,0.9148,0.7886,6.1493
cuda,torchbench,detectron2_maskrcnn,122.0,,120.0,1234.0,1774.0,0.6956,0.7471,4.8925
cuda,huggingface,DebertaForQuestionAnswering,111.0,16.0,51.0,789.0,834.0,0.946,0.773,3.4183
cuda,huggingface,DebertaForMaskedLM,111.0,16.0,51.0,784.0,828.0,0.9469,0.781,3.4909
cuda,huggingface,BigBird,64.0,1.0,75.0,5428.0,5501.0,0.9867,0.9706,7.5902
cuda,torchbench,hf_BigBird,64.0,,75.0,5494.0,5572.0,0.986,0.9683,7.5953
cuda,timm_models,crossvit_9_240,27.0,64.0,27.0,543.0,630.0,0.8619,0.9409,1.9703
cuda,huggingface,GoogleFnet,27.0,1.0,27.0,242.0,277.0,0.8736,0.8204,0.9855
cuda,timm_models,convit_base,26.0,64.0,26.0,381.0,537.0,0.7095,0.6575,0.7741
cuda,torchbench,maml,23.0,,23.0,749.0,1183.0,0.6331,0.6159,9.9091
cuda,timm_models,densenet121,13.0,128.0,13.0,565.0,571.0,0.9895,0.9957,6.3806
cuda,torchbench,moco,11.0,,7.0,0.0,-5.0,0.0,0.0,2.1012
cuda,huggingface,M2M100ForConditionalGeneration,7.0,4.0,7.0,1333.0,1336.0,0.9978,0.9978,5.8136
cuda,torchbench,hf_Reformer,7.0,,7.0,589.0,602.0,0.9784,0.9879,2.9108
cuda,huggingface,PegasusForConditionalGeneration,7.0,8.0,7.0,1315.0,1320.0,0.9962,0.9982,5.9986
cuda,torchbench,fastNLP_Bert,6.0,,6.0,470.0,544.0,0.864,0.9104,4.2878
cuda,torchbench,yolov3,5.0,,3.0,323.0,324.0,0.9969,0.996,15.2582
cuda,torchbench,tts_angular,4.0,,4.0,22.0,30.0,0.7333,0.8359,0.437
cuda,huggingface,AllenaiLongformerBase,4.0,1.0,4.0,3268.0,3272.0,0.9988,0.9949,9.7002
cuda,torchbench,speech_transformer,4.0,,4.0,1093.0,1199.0,0.9116,0.9384,2.944
cuda,huggingface,XGLMForCausalLM,4.0,4.0,4.0,1027.0,1027.0,1.0,0.9977,5.9409
cuda,torchbench,hf_Longformer,4.0,,4.0,3303.0,3305.0,0.9994,0.9953,9.4243
cuda,huggingface,Speech2Text2ForCausalLM,4.0,64.0,4.0,283.0,284.0,0.9965,0.9979,1.1917
cuda,huggingface,PegasusForCausalLM,4.0,16.0,4.0,513.0,514.0,0.9981,0.9966,2.3346
cuda,huggingface,GPTNeoForSequenceClassification,2.0,4.0,2.0,1270.0,1271.0,0.9992,0.9995,7.1644
cuda,huggingface,LayoutLMForSequenceClassification,2.0,16.0,2.0,449.0,450.0,0.9978,0.9967,4.97
cuda,huggingface,GPT2ForSequenceClassification,2.0,4.0,2.0,740.0,740.0,1.0,0.9984,4.2319
cuda,torchbench,tacotron2,0.0,0.0,,,,,,
cuda,torchbench,pyhpc_isoneutral_mixing,0.0,0.0,,,,,,
cuda,torchbench,fambench_xlmr,0.0,0.0,,,,,,
cuda,torchbench,dlrm,0.0,0.0,,,,,,
cuda,torchbench,Super_SloMo,0.0,0.0,,,,,,
