
cuda,AlbertForMaskedLM,0,0.0000
cuda,AlbertForQuestionAnswering,4,1.2455,309.6617,18.3968,0.8589
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,1.1181,110.8628,23.9205,0.7041
cuda,BartForConditionalGeneration,2,1.0915,138.6853,55.6459,0.7546
cuda,BertForMaskedLM,16,1.1574,117.0923,24.5975,0.7507
cuda,BertForQuestionAnswering,16,1.2564,89.1852,24.0740,0.7607
cuda,BlenderbotForCausalLM,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,0.9714,68.3556,17.3192,0.7140
cuda,BlenderbotSmallForConditionalGeneration,64,1.0365,117.2239,37.5785,0.6950
cuda,CamemBert,16,1.1530,118.6181,23.3490,0.7513
cuda,DebertaForMaskedLM,4,1.0466,58.2360,85.8664,0.3538
cuda,DebertaForQuestionAnswering,8,1.0371,79.4997,90.5852,0.2687
cuda,DebertaV2ForMaskedLM,1,0.9473,98.6761,138.3428,0.4400
cuda,DebertaV2ForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,128,1.0002,123.3093,16.9820,0.7225
cuda,DistilBertForQuestionAnswering,256,1.1264,130.0308,16.5238,0.6840
cuda,DistillGPT2,16,1.3855,87.1397,16.7732,0.9129
cuda,ElectraForCausalLM,32,1.4119,76.2082,32.0028,0.8651
cuda,ElectraForQuestionAnswering,64,1.4257,88.6423,27.1331,0.7468
cuda,GPT2ForSequenceClassification,4,1.6398,62.5296,25.0158,1.1050
cuda,GoogleFnet,16,1.4264,71.6561,25.4132,0.9411
cuda,LayoutLMForMaskedLM,16,1.1732,117.6870,27.2350,0.7511
cuda,LayoutLMForSequenceClassification,16,1.2751,89.7972,33.9530,0.7510
cuda,M2M100ForConditionalGeneration,16,1.0571,112.5624,63.5976,0.7056
cuda,MBartForCausalLM,4,1.1147,111.1777,25.5918,0.7195
cuda,MBartForConditionalGeneration,2,1.0892,139.1475,54.9223,0.7705
cuda,MT5ForConditionalGeneration,16,1.5197,60.0456,59.5074,0.7631
cuda,MegatronBertForCausalLM,4,1.1492,89.8549,44.6507,0.7866
cuda,MegatronBertForQuestionAnswering,8,1.1943,145.5867,44.4221,0.7934
cuda,MobileBertForMaskedLM,64,1.2519,120.0174,61.0257,0.5205
cuda,MobileBertForQuestionAnswering,128,1.1804,121.3825,59.7820,0.4156
cuda,OPTForCausalLM,2,1.7887,95.0157,24.0423,0.9040
cuda,PLBartForCausalLM,8,1.1521,102.7443,15.0737,0.8384
cuda,PLBartForConditionalGeneration,4,1.1545,106.1639,30.9548,0.9320
cuda,PegasusForCausalLM,32,0.9791,88.0766,25.4161,0.7622
cuda,PegasusForConditionalGeneration,32,1.0118,171.3736,45.3625,0.8572
cuda,RobertaForCausalLM,16,1.2480,115.0380,23.5028,0.7505
cuda,RobertaForQuestionAnswering,16,1.2592,89.2906,22.9055,0.7607
cuda,Speech2Text2ForCausalLM,256,1.0597,61.0273,16.2343,0.6740
cuda,T5ForConditionalGeneration,4,1.2448,84.2965,33.8015,0.7993
cuda,T5Small,4,1.2472,84.3769,33.8434,0.7993
cuda,TrOCRForCausalLM,0,0.0000
cuda,XGLMForCausalLM,8,1.1328,72.9453,69.2552,0.6455
cuda,XLNetLMHeadModel,8,1.6164,233.3313,69.1685,1.0188
cuda,YituTechConvBert,16,1.1598,135.4909,46.0914,1.0198
