dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.111802,3.621504,1.854519,8.042135,2.843342,1.057472,0.146419,6.364653,1.027838
cuda,AlbertForQuestionAnswering,4,2.135450,3.663065,1.835407,8.116695,2.843861,1.052480,0.139342,6.375706,0.463745
cuda,BartForCausalLM,4,2.209001,5.856069,2.226758,8.624076,2.852812,1.310705,0.256865,2.890821,5.440589
cuda,BartForConditionalGeneration,2,6.135448,13.316082,5.641375,20.364326,8.514378,3.365223,1.040955,1.812767,13.681200
cuda,BertForMaskedLM,64,2.838640,5.146240,2.361885,7.919525,3.760154,1.416232,0.285422,5.245132,2.570241
cuda,BertForQuestionAnswering,128,2.828341,5.099270,2.312877,7.824532,3.700793,1.405325,0.278621,5.145159,1.352625
cuda,BigBird,1,11.042551,6.911272,1.714669,10.219978,2.646799,1.245146,0.218207,5.140502,0.660221
cuda,BlenderbotSmallForCausalLM,64,1.545674,3.789529,2.085106,6.041965,2.057156,0.964974,0.162019,4.410989,4.912782
cuda,BlenderbotSmallForConditionalGeneration,64,4.097378,8.277240,3.960878,12.431301,5.587024,2.375744,0.584470,3.469635,8.287092
cuda,CamemBert,1,2.790068,4.983456,2.061002,7.571260,3.523616,1.319483,0.283115,4.758983,1.144992
cuda,DebertaForMaskedLM,4,7.060781,14.444543,3.454435,18.310509,5.475626,2.291034,0.330662,1.482804,7.546780
cuda,DebertaForQuestionAnswering,8,6.793248,14.082750,3.455620,17.795185,5.362355,2.140527,0.343835,3.396757,7.397159
cuda,DistilBertForMaskedLM,64,1.153893,3.331017,1.336756,4.976357,1.645473,0.759653,0.120692,3.037168,2.526140
cuda,DistilBertForQuestionAnswering,64,1.157666,3.251223,1.272262,4.797499,1.630250,0.982858,0.117576,2.872983,2.019091
cuda,DistillGPT2,1,1.242820,2.778503,0.897709,4.901695,1.570886,0.656627,0.106117,3.071107,6.849425
cuda,ElectraForCausalLM,32,2.904306,6.994126,2.418123,10.514902,3.921474,1.495787,0.288378,4.307333,6.050100
cuda,ElectraForQuestionAnswering,64,2.876659,5.188474,2.341167,7.951274,3.789574,1.436516,0.280804,5.211730,2.547952
cuda,GPT2ForSequenceClassification,4,2.454456,4.820378,2.042669,7.740982,3.398083,1.309248,0.242130,5.054516,2.681252
cuda,LayoutLMForMaskedLM,16,3.094373,5.088071,2.386835,7.869560,3.800315,1.417806,0.285920,5.278614,2.467720
cuda,LayoutLMForSequenceClassification,16,3.201058,5.354102,2.419965,9.359471,4.551694,1.694409,0.286357,6.540361,10.147417
cuda,M2M100ForConditionalGeneration,8,6.120678,11.881255,4.052164,19.813863,7.862379,3.155043,0.758021,32.296396,12.227380
cuda,MBartForCausalLM,32,2.243676,6.469557,2.388487,9.454981,3.106862,1.439883,0.286692,2.591141,6.057176
cuda,MBartForConditionalGeneration,16,6.117547,12.285103,5.982965,19.635997,9.140792,3.636549,1.201294,0.739866,14.306589
cuda,MT5ForConditionalGeneration,8,5.052278,7.784201,4.049901,11.742678,5.605316,2.080586,0.461956,8.194010,7.969440
cuda,MegatronBertForCausalLM,16,5.598446,9.121451,5.204997,14.135738,7.256676,2.855590,0.841096,11.016607,2.081650
cuda,MegatronBertForQuestionAnswering,16,5.910916,9.755907,5.217510,15.071779,8.153485,2.852684,0.820229,10.763027,1.450029
cuda,MobileBertForMaskedLM,32,13.232430,9.675806,5.300721,22.154961,11.965468,4.809135,2.581887,18.179234,4.134458
cuda,MobileBertForQuestionAnswering,64,13.355166,9.684304,5.235936,22.053507,11.899595,4.774881,2.525825,17.986717,2.514770
cuda,OPTForCausalLM,32,2.251030,5.482004,1.803263,8.961406,3.777990,1.469834,0.258727,3.993814,5.374324
cuda,PLBartForCausalLM,32,1.185122,4.363291,1.274414,6.493528,1.607065,0.740556,0.112914,3.419154,3.694794
cuda,PLBartForConditionalGeneration,16,3.182149,8.092356,2.874309,12.248921,4.500000,1.874565,0.389157,4.780694,7.481953
cuda,PegasusForCausalLM,32,2.466021,6.628020,2.335533,10.012621,3.020405,1.440620,0.283990,3.311204,6.371748
cuda,PegasusForConditionalGeneration,16,5.881041,12.011138,5.554626,19.822682,8.045601,4.348828,0.820737,1.976043,13.633465
cuda,RobertaForCausalLM,64,2.779085,5.908810,2.393391,8.404637,3.820235,1.446058,0.284453,0.780107,5.000262
cuda,RobertaForQuestionAnswering,128,2.798089,5.244805,2.344266,7.625014,3.756813,1.436081,0.284668,4.831945
cuda,Speech2Text2ForCausalLM,128,1.439591,5.157159,1.094192,7.723478,1.650146,0.712166,0.110627,3.327998,3.708800
cuda,T5ForConditionalGeneration,4,3.503281,7.356207,2.367539,10.253919,3.592102,1.518239,0.295620,7.991787,6.080768
cuda,T5Small,1,3.522469,7.101110,2.001868,9.855818,3.315460,1.403420,0.291307,13.896050,5.571391
cuda,TrOCRForCausalLM,32,2.218763,6.085585,2.245298,8.820780,2.915885,1.360013,0.263244,2.912719,5.643089
cuda,XGLMForCausalLM,8,4.692449,11.043608,5.252268,17.303540,7.171543,2.942748,0.750883,60.001077,12.339439
cuda,YituTechConvBert,1,4.076232,8.186388,3.932691,12.692924,4.774462,1.899869,0.451388,21.650638,8.606171
