dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,1.628875,3.119593,1.602834,6.789091,2.390273,0.963709,0.135742,1.645380,7.220463,1.045476
cuda,AlbertForQuestionAnswering,4,1.666411,2.969315,1.560447,7.138303,2.377584,0.945910,0.131701,1.148913,6.960095,0.531889
cuda,BartForCausalLM,4,1.698902,6.086342,1.813909,8.331259,2.832752,1.081586,0.204730,2.047409,2.339371,6.195018
cuda,BartForConditionalGeneration,2,4.613015,13.877314,4.599692,18.485580,7.387666,3.303509,0.783091,1.021993,1.907742,10.460678
cuda,BertForMaskedLM,64,2.252549,6.368603,1.896321,8.260804,3.004787,1.196947,0.234694,3.117023,6.998442,2.533149
cuda,BertForQuestionAnswering,128,2.282729,6.284405,1.841958,8.281722,2.934960,1.177824,0.234331,1.947281,5.878740,1.332782
cuda,BigBird,1,9.580432,5.198962,1.208448,8.832309,1.916692,0.923325,0.185402,9.194420,14.143640,0.557144
cuda,BlenderbotSmallForCausalLM,64,1.163560,3.666382,1.288480,5.880926,2.072253,0.807761,0.134172,4.618485,8.181661,4.279177
cuda,BlenderbotSmallForConditionalGeneration,64,3.161242,8.025879,2.775887,12.053883,4.926679,2.466569,0.470271,3.330962,3.505625,10.287995
cuda,CamemBert,1,2.275703,6.319834,1.620323,8.094402,2.868182,1.082673,0.226279,1.361066,4.854310,0.967891
cuda,DebertaForMaskedLM,4,6.399567,13.148061,2.886477,16.299341,3.930934,1.874116,0.307216,22.522799,1.236363,28.797841
cuda,DebertaForQuestionAnswering,8,6.657674,13.030513,2.813807,16.694165,3.879231,1.843919,0.304515,24.723142,3.215870,31.437840
cuda,DistilBertForMaskedLM,64,0.863230,3.250971,1.239581,4.441776,1.447209,0.630029,0.106466,2.871157,5.350534,2.549020
cuda,DistilBertForQuestionAnswering,64,0.876102,3.198839,1.183379,4.374248,1.386788,0.614006,0.102668,2.361168,4.768605,2.053217
cuda,DistillGPT2,1,1.034035,2.837533,0.749771,4.636664,1.393667,0.575944,0.091063,7.306172,9.899121,7.046721
cuda,ElectraForCausalLM,32,2.300352,8.472890,1.904638,11.608899,2.837240,1.252185,0.235355,5.382262,4.488858,10.521410
cuda,ElectraForQuestionAnswering,64,2.342725,6.322664,1.876186,8.315331,2.992737,1.207626,0.240481,3.274093,7.238307,2.587432
cuda,GPT2ForSequenceClassification,4,2.185200,4.283492,1.675399,6.584680,2.687522,1.125066,0.205652,2.255915,6.316741,1.870285
cuda,GoogleFnet,1,1.200123,4.622148,0.909217,7.929940,1.335473,0.619431,0.104564,5.342787,9.625460,1.075388
cuda,LayoutLMForMaskedLM,16,2.659975,6.312270,2.185592,7.982481,2.757018,1.207993,0.238448,3.036227,6.987280,2.410649
cuda,LayoutLMForSequenceClassification,16,2.617968,6.211705,2.128690,9.360514,3.379938,1.418164,0.235354,13.636595,19.008661,13.045716
cuda,M2M100ForConditionalGeneration,8,4.483656,11.610970,3.478837,17.761575,6.074320,3.240883,0.627327,7.459132,27.733712,17.305755
cuda,MBartForCausalLM,32,1.653339,7.346914,1.832897,9.886324,2.910401,1.153500,0.217178,1.999436,2.065304,6.459212
cuda,MBartForConditionalGeneration,16,4.641325,13.974197,4.730776,19.030107,8.165943,2.971041,0.855453,1.070772,0.593057,11.088804
cuda,MT5ForConditionalGeneration,8,4.726468,6.426717,2.859982,9.727279,3.840046,2.116569,0.427979,8.449374,14.782998,7.887052
cuda,MegatronBertForCausalLM,16,4.415342,8.634952,3.935033,11.195864,5.744762,2.298272,0.612087,3.592812,10.272083,2.930951
cuda,MegatronBertForQuestionAnswering,16,4.472149,8.507410,3.460276,11.003737,5.623280,2.253315,0.603092,2.493547,9.023482,1.694528
cuda,MobileBertForMaskedLM,32,10.564326,6.283159,3.866665,15.683578,7.834584,3.514344,1.702574,5.483491,19.071436,4.259763
cuda,MobileBertForQuestionAnswering,64,11.040542,6.357764,3.733084,15.710936,7.848473,3.492314,1.677513,4.006361,17.407498,2.574039
cuda,OPTForCausalLM,32,1.730841,4.697626,1.586077,7.544832,3.135253,1.233302,0.217931,2.332727,6.850470,1.871613
cuda,PLBartForCausalLM,32,0.892350,4.500047,1.076432,6.294928,1.507475,0.656003,0.102656,2.113978,2.716331,5.202335
cuda,PLBartForConditionalGeneration,16,2.451745,7.578270,2.372681,11.595731,4.095796,1.600337,0.342220,4.048912,4.629972,10.561260
cuda,PegasusForCausalLM,32,1.743680,6.544491,1.806817,9.401376,2.841580,1.177987,0.220484,2.561065,2.723509,7.315476
cuda,PegasusForConditionalGeneration,16,4.362411,11.368257,4.107697,15.938380,6.483904,2.949483,0.631746,2.808722,2.052874,11.712805
cuda,RobertaForCausalLM,64,2.290196,7.079049,1.924501,8.830649,3.102463,1.219321,0.235982,0.970687,0.762456,4.739840
cuda,RobertaForQuestionAnswering,128,2.312999,6.318541,1.855315,8.126297,2.953075,1.174037,0.233209,0.672580,4.429373
cuda,Speech2Text2ForCausalLM,128,0.941943,4.791378,0.959779,7.265640,1.237849,0.601889,0.095390,2.234379,2.675075,5.712244
cuda,T5ForConditionalGeneration,4,3.219254,6.487619,1.911154,9.183285,3.064554,1.240801,0.276351,3.477132,7.234701,8.202067
cuda,T5Small,1,3.195372,6.175750,1.576769,8.772687,2.815919,1.141288,0.268947,6.920994,13.221520,11.213623
cuda,TrOCRForCausalLM,32,1.670595,5.896979,1.833048,8.420329,2.901768,1.154610,0.217852,1.992535,2.403744,6.437234
cuda,XGLMForCausalLM,8,3.707142,15.638929,3.769138,20.491061,7.042484,2.936862,0.599325,6.061424,48.627936,15.271264
cuda,YituTechConvBert,1,3.376335,8.749577,3.149272,12.346627,3.609567,1.551953,0.382579,8.985803,21.586377,15.876161
