dev,name,batch_size,ts_nvfuser,aot_nvfuser,inductor_cudagraphs
cuda,AlbertForMaskedLM,4,1.1703,1.194,0.0
cuda,AlbertForQuestionAnswering,4,1.1714,1.2002,0.0
cuda,AllenaiLongformerBase,1,1.1705,1.0456,0.0
cuda,BartForCausalLM,8,1.0041,1.0027,0.0
cuda,BartForConditionalGeneration,2,0.9978,1.001,0.0
cuda,BertForMaskedLM,64,1.054,0.9699,1.0555
cuda,BertForQuestionAnswering,64,1.0724,1.0148,1.1445
cuda,BigBird,1,0.9795,0.8585,0.0
cuda,BlenderbotSmallForCausalLM,64,1.0153,0.9258,0.0
cuda,BlenderbotSmallForConditionalGeneration,64,1.0184,0.9468,0.0
cuda,CamemBert,1,1.1042,1.4004,2.5832
cuda,DebertaForMaskedLM,16,0.0,1.0935,0.0
cuda,DebertaForQuestionAnswering,16,0.0,1.2018,0.0
cuda,DebertaV2ForMaskedLM,0,0.0,0.0,0.0
cuda,DebertaV2ForQuestionAnswering,4,0.9979,0.9857,0.0
cuda,DistilBertForMaskedLM,32,1.0045,0.9645,0.0
cuda,DistilBertForQuestionAnswering,32,1.0081,1.0308,0.0
cuda,DistillGPT2,1,1.2693,1.5358,0.0
cuda,ElectraForCausalLM,32,1.142,1.0053,0.0
cuda,ElectraForQuestionAnswering,64,1.2696,1.2007,1.3154
cuda,GPT2ForSequenceClassification,4,1.6076,1.3002,0.0
cuda,GPTNeoForCausalLM,0,0.0,0.0,0.0
cuda,GPTNeoForSequenceClassification,0,0.0,0.0,0.0
cuda,GoogleFnet,1,1.1192,1.1863,0.0
cuda,LayoutLMForMaskedLM,16,1.1438,1.0587,1.1868
cuda,LayoutLMForSequenceClassification,16,1.185,1.1257,1.2979
cuda,M2M100ForConditionalGeneration,4,1.004,0.9568,0.0
cuda,MBartForCausalLM,16,1.0092,0.9678,0.0
cuda,MBartForConditionalGeneration,8,1.0095,1.0001,0.0
cuda,MT5ForConditionalGeneration,4,1.0239,1.3616,0.0
cuda,MegatronBertForCausalLM,8,1.1359,1.0656,0.0
cuda,MegatronBertForQuestionAnswering,8,1.1495,1.0922,1.0685
cuda,MobileBertForMaskedLM,16,1.1798,1.1382,1.0921
cuda,MobileBertForQuestionAnswering,32,1.2344,1.1736,0.8835
cuda,OPTForCausalLM,16,1.0887,1.0053,0.0
cuda,PLBartForCausalLM,16,1.0085,0.9699,0.0
cuda,PLBartForConditionalGeneration,8,1.0096,0.9999,0.0
cuda,PegasusForCausalLM,16,1.0085,0.9566,0.0
cuda,PegasusForConditionalGeneration,8,1.008,0.9703,0.0
cuda,RobertaForCausalLM,64,1.05,0.9698,0.0
cuda,RobertaForQuestionAnswering,64,1.0717,1.0122,1.1515
cuda,Speech2Text2ForCausalLM,64,1.0283,1.1611,1.318
cuda,T5ForConditionalGeneration,4,0.0,0.9753,0.0
cuda,T5Small,1,0.0,1.4814,0.0
cuda,TrOCRForCausalLM,16,1.0046,0.9798,0.0
cuda,XGLMForCausalLM,4,1.0032,0.0,0.0
cuda,XLNetLMHeadModel,8,1.1082,1.0913,0.0
cuda,YituTechConvBert,1,1.1017,1.3754,3.0407
