dev,name,batch_size,time,memory,graphs
cuda,AlbertForMaskedLM,2,17.6071,10.7974,1
cuda,AlbertForQuestionAnswering,2,16.2000,10.4055,1
cuda,AllenaiLongformerBase,1,16.2766,3.2291,4
cuda,BartForCausalLM,4,12.3645,12.1385,1
cuda,BartForConditionalGeneration,2,14.0278,12.0942,1
cuda,BertForMaskedLM,64,17.8494,11.8917,1
cuda,BertForQuestionAnswering,64,17.1031,7.4338,1
cuda,BigBird,1,22.2046,3.1132,64
cuda,BlenderbotSmallForCausalLM,64,9.8005,11.5372,1
cuda,BlenderbotSmallForConditionalGeneration,64,21.7293,15.5543,1
cuda,CamemBert,1,18.0905,1.8620,1
cuda,DebertaForMaskedLM,4,20.3811,5.2038,204
cuda,DebertaForQuestionAnswering,4,19.3242,3.2220,204
cuda,DebertaV2ForMaskedLM,1,27.7710,10.8224,304
cuda,DebertaV2ForQuestionAnswering,1,27.1282,10.5302,304
cuda,DistilBertForMaskedLM,16,11.0852,2.3333,1
cuda,DistilBertForQuestionAnswering,32,11.0181,2.2036,1
cuda,DistillGPT2,1,9.6762,1.4879,1
cuda,ElectraForCausalLM,1,18.5957,0.5876,1
cuda,ElectraForQuestionAnswering,64,17.4048,14.6661,1
cuda,GPT2ForSequenceClassification,4,15.2869,10.4803,2
cuda,GPTNeoForCausalLM,1,22.0269,15.9637,1
cuda,GPTNeoForSequenceClassification,1,22.6993,15.9380,2
cuda,GoogleFnet,1,9.0540,1.0690,27
cuda,LayoutLMForMaskedLM,16,18.3689,16.0086,1
cuda,LayoutLMForSequenceClassification,16,16.6524,11.7433,2
cuda,M2M100ForConditionalGeneration,2,27.0935,5.9989,7
cuda,MBartForCausalLM,16,13.4405,5.3731,1
cuda,MBartForConditionalGeneration,8,13.4100,5.0859,1
cuda,MT5ForConditionalGeneration,2,38.1046,4.4070,1
cuda,MegatronBertForCausalLM,2,34.7902,4.0354,1
cuda,MegatronBertForQuestionAnswering,8,34.2431,4.7898,1
cuda,MobileBertForMaskedLM,16,138.7373,2.8406,1
cuda,MobileBertForQuestionAnswering,32,139.1629,3.1735,1
cuda,OPTForCausalLM,4,12.5375,1.8263,1
cuda,PLBartForCausalLM,16,9.2740,3.3218,1
cuda,PLBartForConditionalGeneration,8,5.6301,2.3987,1
cuda,PegasusForCausalLM,8,14.0956,3.2089,4
cuda,PegasusForConditionalGeneration,4,25.6242,4.9642,7
cuda,RobertaForCausalLM,4,17.4723,1.5878,1
cuda,RobertaForQuestionAnswering,64,17.0251,7.4338,1
cuda,Speech2Text2ForCausalLM,64,8.9777,2.7351,4
cuda,T5ForConditionalGeneration,4,27.7260,11.3331,1
cuda,T5Small,1,27.3336,3.2748,1
cuda,TrOCRForCausalLM,8,11.6394,3.5959,1
cuda,XGLMForCausalLM,2,27.5942,7.0946,4
cuda,XLNetLMHeadModel,4,40.2857,11.9039,1
cuda,YituTechConvBert,1,25.0428,1.7773,1
