dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,2.102921,4.359221,1.913402,9.136823,2.890941,1.067208,0.143546,8.285258,6.785488
cuda,AlbertForQuestionAnswering,4,2.118406,4.407646,1.870998,9.139911,2.874800,1.075937,0.143827,6.971083,6.693448
cuda,BartForCausalLM,4,2.142990,5.986874,2.547932,8.388278,2.811950,1.269959,0.252380,6.981618,5.306927
cuda,BartForConditionalGeneration,2,6.017908,12.958876,6.329540,19.309006,8.429490,3.331765,1.027426,13.333281,12.951928
cuda,BertForMaskedLM,64,2.779602,6.997854,2.450571,9.750514,3.981665,1.439800,0.288810,15.691583,5.314607
cuda,BertForQuestionAnswering,128,2.763013,6.852443,2.348387,9.572705,3.873345,1.412377,0.283666,8.214776,5.175336
cuda,BigBird,1,10.949310,7.465072,1.580906,10.823720,3.413087,1.253725,0.215894,5.054045,1.428448
cuda,BlenderbotSmallForCausalLM,64,1.497675,3.733527,1.800624,6.195440,2.290212,0.953909,0.163256,4.334743,11.946820
cuda,BlenderbotSmallForConditionalGeneration,64,4.004972,8.165606,4.420015,12.397154,5.110152,2.364999,0.583298,14.847364,8.841372
cuda,CamemBert,1,2.687110,6.491123,2.071609,9.061685,3.600697,1.252838,0.263279,4.748421,2.649719
cuda,DebertaForMaskedLM,4,6.750230,77.258865,3.513829,81.312473,5.281177,2.562103,0.335076,29.642869,7.979635
cuda,DebertaForQuestionAnswering,8,6.576999,86.125705,3.799334,90.059182,5.569539,2.151930,0.335609,25.062336,8.182888
cuda,DistilBertForMaskedLM,64,1.165409,3.866047,1.374485,5.472892,1.738343,0.766790,0.120461,15.019355,3.048720
cuda,DistilBertForQuestionAnswering,64,1.154048,3.736602,1.288650,5.297392,1.691549,0.773481,0.119048,14.657948,2.908044
cuda,DistillGPT2,1,1.215779,3.590078,1.123193,5.455695,1.618304,0.641671,0.101140,3.039772,18.087469
cuda,ElectraForCausalLM,32,2.561076,7.034505,2.465969,9.766194,4.093004,1.467870,0.295787,22.413283,5.311027
cuda,ElectraForQuestionAnswering,64,2.607950,6.884520,2.379425,9.485512,3.968637,1.448995,0.285097,12.944844,5.088794
cuda,GPT2ForSequenceClassification,4,2.408233,6.650335,2.119689,9.326474,3.514183,1.331547,0.228688,11.627434,4.886981
cuda,LayoutLMForMaskedLM,16,3.287189,7.001501,2.487771,9.740349,4.033205,1.471841,0.294096,14.005996,5.339360
cuda,LayoutLMForSequenceClassification,16,3.083670,6.936856,2.440098,10.849436,4.604784,1.680145,0.287220,37.246947,6.462563
cuda,M2M100ForConditionalGeneration,8,5.673904,12.021375,4.107864,19.900440,7.776434,3.350267,0.692425,84.493205,12.226149
cuda,MBartForCausalLM,32,2.209058,6.247598,2.471730,9.464268,3.143472,1.434831,0.279829,7.067479,6.141325
cuda,MBartForConditionalGeneration,16,6.398428,12.721863,6.125853,20.160355,9.240410,3.676374,1.130109,10.859464,13.838349
cuda,MT5ForConditionalGeneration,8,4.938207,11.664800,3.612131,16.741095,5.900810,2.052831,0.440590,55.969823,9.375781
cuda,MegatronBertForCausalLM,16,5.383821,14.236703,5.409437,19.154321,8.103765,2.896954,0.794242,24.857904,10.564173
cuda,MegatronBertForQuestionAnswering,16,5.437690,13.546151,5.240705,18.377523,7.421540,2.821373,0.770458,24.141505,10.301185
cuda,MobileBertForMaskedLM,32,13.047657,13.883779,5.465256,26.469464,12.160854,4.831450,2.579888,31.866420,18.437629
cuda,MobileBertForQuestionAnswering,64,13.718322,13.938778,5.329792,26.476443,12.194405,4.844381,2.628902,20.585459,18.257274
cuda,OPTForCausalLM,32,2.196322,5.075504,1.868941,8.523114,3.820011,1.485575,0.261260,5.407931,6.261342
cuda,PLBartForCausalLM,32,1.181713,4.296711,1.309809,6.407982,1.619777,0.747742,0.114947,7.479592,3.732140
cuda,PLBartForConditionalGeneration,16,2.992268,7.214304,3.204574,11.341680,4.022939,1.854212,0.386350,20.899566,7.869550
cuda,PegasusForCausalLM,32,2.469304,6.338849,2.422997,9.839497,3.084696,1.426428,0.287981,7.692427,6.367545
cuda,PegasusForConditionalGeneration,16,5.784295,11.674062,6.469944,18.894152,7.555291,3.638313,0.795424,14.326025,13.965125
cuda,RobertaForCausalLM,64,2.796072,7.075608,2.435631,9.802502,4.045025,1.460721,0.286465,10.798937,5.277961
cuda,RobertaForQuestionAnswering,128,2.805182,6.861264,2.354686,9.493049,3.906252,1.416899,0.282787,5.080826,5.097507
cuda,Speech2Text2ForCausalLM,128,1.216969,5.123796,1.114830,7.740429,1.713410,0.715818,0.113040,7.814757,3.780956
cuda,T5ForConditionalGeneration,4,3.433418,9.019627,3.201822,11.778689,3.855955,1.488555,0.281028,34.646266,6.094623
cuda,T5Small,1,3.433600,8.381227,2.394036,11.359529,3.801053,1.280238,0.255327,32.480926,5.502176
cuda,TrOCRForCausalLM,32,2.288664,5.963168,2.618426,8.683727,2.933825,1.365739,0.269652,6.889124,5.708543
cuda,XGLMForCausalLM,8,4.879467,10.910368,6.025549,17.234100,6.627884,3.507175,0.709037,145.768417,12.585675
cuda,YituTechConvBert,1,3.951468,8.413253,3.948821,11.888022,4.544052,1.878492,0.454332,104.509960,7.590500
