dev,suite,name,graphs,batch_size,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,torchbench,vision_maskrcnn,246.0,4,266.0,3954.0,12142.0,0.3256,0.4733,13.9163
cuda,huggingface,DebertaV2ForQuestionAnswering,163.0,4,99.0,957.0,1043.0,0.9175,0.7878,6.1338
cuda,huggingface,DebertaV2ForMaskedLM,163.0,4,99.0,959.0,1037.0,0.9248,0.7833,6.1797
cuda,torchbench,detectron2_maskrcnn,122.0,2,120.0,1224.0,1762.0,0.6947,0.6945,4.8869
cuda,huggingface,DebertaForQuestionAnswering,111.0,16,51.0,784.0,828.0,0.9469,0.778,3.4061
cuda,huggingface,DebertaForMaskedLM,111.0,16,51.0,781.0,826.0,0.9455,0.7776,3.4499
cuda,huggingface,BigBird,64.0,1,75.0,5456.0,5530.0,0.9866,0.9716,7.5483
cuda,torchbench,hf_BigBird,64.0,1,75.0,5456.0,5527.0,0.9872,0.9691,7.5012
cuda,timm_models,crossvit_9_240,27.0,64,27.0,537.0,618.0,0.8689,0.9409,1.9245
cuda,huggingface,GoogleFnet,27.0,1,27.0,241.0,278.0,0.8669,0.8192,0.9785
cuda,timm_models,convit_base,26.0,64,26.0,379.0,531.0,0.7137,0.6559,0.7693
cuda,torchbench,maml,23.0,1,23.0,751.0,1196.0,0.6279,0.5521,9.6097
cuda,timm_models,densenet121,13.0,128,13.0,565.0,573.0,0.986,0.996,6.3936
cuda,torchbench,moco,11.0,32,7.0,0.0,-5.0,0.0,0.0,2.0558
cuda,huggingface,M2M100ForConditionalGeneration,7.0,4,7.0,1319.0,1322.0,0.9977,0.9977,5.8084
cuda,torchbench,hf_Reformer,7.0,1,7.0,634.0,646.0,0.9814,0.9905,2.8229
cuda,huggingface,PegasusForConditionalGeneration,7.0,8,7.0,1306.0,1310.0,0.9969,0.9982,6.0352
cuda,torchbench,fastNLP_Bert,6.0,1,6.0,489.0,565.0,0.8655,0.9123,4.235
cuda,torchbench,yolov3,5.0,16,3.0,326.0,327.0,0.9969,0.9968,15.1933
cuda,torchbench,tts_angular,4.0,64,4.0,22.0,30.0,0.7333,0.8481,0.4337
cuda,huggingface,AllenaiLongformerBase,4.0,1,4.0,3306.0,3308.0,0.9994,0.9956,9.1265
cuda,torchbench,speech_transformer,4.0,1,4.0,1088.0,1198.0,0.9082,0.9388,2.8975
cuda,huggingface,XGLMForCausalLM,4.0,4,4.0,1001.0,1002.0,0.999,0.998,6.0509
cuda,torchbench,hf_Longformer,4.0,1,4.0,3340.0,3343.0,0.9991,0.9956,9.3801
cuda,huggingface,Speech2Text2ForCausalLM,4.0,64,4.0,274.0,275.0,0.9964,0.9977,1.2029
cuda,huggingface,PegasusForCausalLM,4.0,16,4.0,506.0,507.0,0.998,0.9967,2.3461
cuda,huggingface,GPTNeoForSequenceClassification,2.0,4,2.0,1271.0,1272.0,0.9992,0.9995,7.1184
cuda,huggingface,LayoutLMForSequenceClassification,2.0,16,2.0,455.0,455.0,1.0,0.9967,4.9256
cuda,huggingface,GPT2ForSequenceClassification,2.0,4,2.0,734.0,735.0,0.9986,0.9988,4.1948
cuda,torchbench,tacotron2,0.0,0,,,,,,
cuda,torchbench,pyhpc_isoneutral_mixing,0.0,0,,,,,,
cuda,torchbench,fambench_xlmr,0.0,0,,,,,,
cuda,torchbench,dlrm,0.0,0,,,,,,
cuda,torchbench,Super_SloMo,0.0,0,,,,,,
