dev,name,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,AlbertForMaskedLM,4,1,1,472,472,1.0000,0.9975,1.9453
cuda,AlbertForQuestionAnswering,4,1,1,465,465,1.0000,0.9979,1.9833
cuda,AllenaiLongformerBase,1,4,4,3306,3308,0.9994,0.9956,9.1265
cuda,BartForCausalLM,8,1,1,504,504,1.0000,0.9987,2.5154
cuda,BartForConditionalGeneration,2,1,1,1317,1317,1.0000,0.9990,9.7814
cuda,BertForMaskedLM,64,1,1,405,405,1.0000,0.9974,4.9393
cuda,BertForQuestionAnswering,64,1,1,409,409,1.0000,0.9973,4.9136
cuda,BigBird,1,64,75,5456,5530,0.9866,0.9716,7.5483
cuda,BlenderbotSmallForCausalLM,64,1,1,344,344,1.0000,0.9974,1.4746
cuda,BlenderbotSmallForConditionalGeneration,64,1,1,874,874,1.0000,0.9986,5.2492
cuda,CamemBert,1,1,1,400,400,1.0000,0.9973,4.8092
cuda,DebertaForMaskedLM,16,111,51,781,826,0.9455,0.7776,3.4499
cuda,DebertaForQuestionAnswering,16,111,51,784,828,0.9469,0.7780,3.4061
cuda,DebertaV2ForMaskedLM,4,163,99,959,1037,0.9248,0.7833,6.1797
cuda,DebertaV2ForQuestionAnswering,4,163,99,957,1043,0.9175,0.7878,6.1338
cuda,DistilBertForMaskedLM,32,1,1,235,235,1.0000,0.9960,1.0888
cuda,DistilBertForQuestionAnswering,32,1,1,242,242,1.0000,0.9954,1.0653
cuda,DistillGPT2,1,1,1,396,396,1.0000,0.9959,1.6001
cuda,ElectraForCausalLM,32,1,1,414,414,1.0000,0.9971,4.8754
cuda,ElectraForQuestionAnswering,64,1,1,416,416,1.0000,0.9974,4.8390
cuda,GPT2ForSequenceClassification,4,2,2,734,735,0.9986,0.9988,4.1948
cuda,GPTNeoForCausalLM,4,1,1,1276,1276,1.0000,0.9996,7.2261
cuda,GPTNeoForSequenceClassification,4,2,2,1271,1272,0.9992,0.9995,7.1184
cuda,GoogleFnet,1,27,27,241,278,0.8669,0.8192,0.9785
cuda,LayoutLMForMaskedLM,16,1,1,454,454,1.0000,0.9978,5.0653
cuda,LayoutLMForSequenceClassification,16,2,2,455,455,1.0000,0.9967,4.9256
cuda,M2M100ForConditionalGeneration,4,7,7,1319,1322,0.9977,0.9977,5.8084
cuda,MBartForCausalLM,16,1,1,508,508,1.0000,0.9982,2.4767
cuda,MBartForConditionalGeneration,8,1,1,1317,1317,1.0000,0.9992,9.9499
cuda,MT5ForConditionalGeneration,4,1,1,1252,1252,1.0000,0.9988,12.6649
cuda,MegatronBertForCausalLM,8,1,1,768,768,1.0000,0.9984,15.7257
cuda,MegatronBertForQuestionAnswering,8,1,1,769,769,1.0000,0.9983,15.5985
cuda,MobileBertForMaskedLM,16,1,1,1630,1630,1.0000,0.9993,62.8589
cuda,MobileBertForQuestionAnswering,32,1,1,1617,1617,1.0000,0.9992,63.5522
cuda,OPTForCausalLM,16,1,1,607,607,1.0000,0.9982,2.5520
cuda,PLBartForCausalLM,16,1,1,263,263,1.0000,0.9974,1.2220
cuda,PLBartForConditionalGeneration,8,1,1,689,689,1.0000,0.9985,3.5422
cuda,PegasusForCausalLM,16,4,4,506,507,0.9980,0.9967,2.3461
cuda,PegasusForConditionalGeneration,8,7,7,1306,1310,0.9969,0.9982,6.0352
cuda,RobertaForCausalLM,64,1,1,421,421,1.0000,0.9977,4.9043
cuda,RobertaForQuestionAnswering,64,1,1,409,409,1.0000,0.9975,4.8926
cuda,Speech2Text2ForCausalLM,64,4,4,274,275,0.9964,0.9977,1.2029
cuda,T5ForConditionalGeneration,4,1,1,862,862,1.0000,0.9987,7.3331
cuda,T5Small,1,1,1,863,863,1.0000,0.9980,7.2416
cuda,TrOCRForCausalLM,16,1,1,512,512,1.0000,0.9981,2.3757
cuda,XGLMForCausalLM,4,4,4,1001,1002,0.9990,0.9980,6.0509
cuda,XLNetLMHeadModel,8,1,1,969,969,1.0000,0.9993,14.0873
cuda,YituTechConvBert,1,1,1,680,680,1.0000,0.9984,7.8956
