dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,14.485485,12.293569,4.709167,1.951023,9.690122,3.621916,1.338147,0.161728,1.510287,7.022787
cuda,AlbertForQuestionAnswering,4,14.479647,12.325039,4.595680,2.460052,9.090639,3.195154,1.333955,0.155951,1.110461,7.047843
cuda,AllenaiLongformerBase,4,61.933681,52.836702,30.091907,6.545723,38.579944,18.098678,7.009187,0.460782,3.541453,15.385401
cuda,BartForCausalLM,4,20.098566,16.389511,7.400743,2.175615,10.863336,4.533199,1.916414,0.356432,2.363806,5.750396
cuda,BartForConditionalGeneration,2,48.962106,39.733776,17.441284,6.496357,23.519464,11.013834,4.718886,1.433777,1.273649,12.871489
cuda,BertForMaskedLM,16,19.713944,15.790106,6.597481,2.532648,9.586868,4.234605,1.933080,0.351584,2.225320,5.640648
cuda,BertForQuestionAnswering,16,19.748047,16.134839,6.738801,2.246515,9.900941,4.502338,1.912260,0.346206,1.741114,5.524453
cuda,BlenderbotForCausalLM,4,35.063696,27.729678,10.985575,4.648738,17.602024,8.935732,4.089188,1.023773,11.494608,3.791377
cuda,BlenderbotSmallForCausalLM,64,12.399300,9.775995,4.041821,1.436968,6.469253,2.552849,1.290953,0.203911,4.147980,2.522418
cuda,BlenderbotSmallForConditionalGeneration,64,32.142680,26.325633,11.520504,3.980644,15.823802,7.268862,3.652346,0.741732,1.872498,8.734157
cuda,CamemBert,16,19.712353,15.732404,6.624269,2.509306,9.623769,4.232773,1.927035,0.358141,1.062632,5.628228
cuda,DebertaForMaskedLM,4,30.578144,23.291105,12.524188,3.242358,17.000233,6.255116,2.731449,0.395766,2.615638,7.962814
cuda,DebertaForQuestionAnswering,8,30.366881,23.365540,12.975879,3.451167,16.853525,6.515630,2.691890,0.397194,3.013736,7.570873
cuda,DebertaV2ForMaskedLM,1,48.580952,34.845819,16.140216,4.287787,20.638381,7.769317,4.622505,0.698902,1.722389,9.196894
cuda,DebertaV2ForQuestionAnswering,2,48.826540,34.928588,16.292585,4.821365,21.746056,9.867039,4.719421,0.711509,0.575294,10.681281
cuda,DistilBertForMaskedLM,128,11.398421,9.561020,4.958583,1.189771,7.264670,2.593308,1.054081,0.146921,3.985369,3.559343
cuda,DistilBertForQuestionAnswering,256,11.452981,9.617108,4.989675,1.358027,7.228012,2.460243,1.059904,0.141947,2.998852,3.659380
cuda,DistillGPT2,16,9.952014,8.213588,4.140173,1.245368,6.430552,2.183534,1.149760,0.131601,2.737545,3.589316
cuda,ElectraForCausalLM,32,21.861835,17.812414,8.541813,2.536039,14.613833,4.371917,1.978748,0.352327,4.002567,8.730098
cuda,ElectraForQuestionAnswering,64,19.926366,15.948558,6.767017,2.522510,11.911646,4.257014,1.922957,0.349694,2.431504,7.786446
cuda,GPT2ForSequenceClassification,4,17.253056,14.037883,6.178064,2.452543,9.104098,3.910656,1.969088,0.303264,2.609171,5.683098
cuda,LayoutLMForMaskedLM,16,21.285853,17.045001,7.742002,2.584912,10.768695,4.334111,1.959039,0.356844,2.618530,5.732606
cuda,LayoutLMForSequenceClassification,16,21.732279,17.513887,8.166100,2.391618,13.097437,5.420948,2.257089,0.353466,6.902635,7.443337
cuda,M2M100ForConditionalGeneration,16,46.296743,37.387719,16.140736,5.908089,24.076134,10.399126,4.991333,1.017917,11.527165,14.598157
cuda,MBartForCausalLM,4,20.033798,16.527756,7.517107,2.308391,11.191995,4.385319,1.958706,0.376520,2.286905,6.097617
cuda,MBartForConditionalGeneration,2,48.199472,38.934503,16.587528,6.762928,23.661522,12.105299,4.857862,1.549433,0.689214,14.136814
cuda,MT5ForConditionalGeneration,16,31.504528,26.422147,11.629740,4.566262,16.931251,7.985464,2.910497,0.577740,22.877220,10.414513
cuda,MegatronBertForCausalLM,4,37.816490,30.806379,12.867442,6.233680,18.150871,9.192707,3.884139,1.049455,1.993564,11.750542
cuda,MegatronBertForQuestionAnswering,8,37.341257,30.455389,12.775649,5.464956,18.641452,9.673728,3.779220,1.048929,1.717053,11.564016
cuda,MobileBertForMaskedLM,64,51.337368,42.593013,12.372107,6.344737,29.735125,15.721217,6.880002,3.979825,4.281017,24.087761
cuda,MobileBertForQuestionAnswering,128,50.872263,42.138863,11.793905,6.274205,29.075228,15.380743,6.367471,4.093878,2.810789,24.447779
cuda,OPTForCausalLM,2,18.812217,15.515575,7.307070,2.234198,10.522064,4.676526,2.013112,0.335370,3.050444,5.765546
cuda,PLBartForCausalLM,8,11.263200,9.388942,4.962013,1.314578,7.255099,2.219334,1.002829,0.141478,1.484938,3.666606
cuda,PLBartForConditionalGeneration,4,25.350772,20.648996,9.080399,2.984322,13.200235,5.671216,2.523577,0.499568,2.716330,7.482850
cuda,PegasusForCausalLM,32,19.029921,15.538114,7.149857,2.192087,11.241216,4.666887,1.940917,0.372735,2.438882,6.400406
cuda,PegasusForConditionalGeneration,32,36.669587,32.272163,11.813460,4.914681,21.157812,9.966349,4.445768,0.979596,0.643797,14.511634
cuda,RobertaForCausalLM,16,19.600348,15.733864,6.731584,2.511395,9.426188,4.222164,1.942105,0.348051,1.443396,5.326092
cuda,RobertaForQuestionAnswering,16,19.549844,15.682073,6.610708,2.472269,9.117331,4.124105,1.897979,0.343144,0.732987,5.099304
cuda,Speech2Text2ForCausalLM,256,10.937871,8.995431,4.773749,0.983765,7.267662,2.110084,0.975340,0.142495,1.341691,3.534395
cuda,T5ForConditionalGeneration,4,22.955279,19.395190,8.751141,2.670866,12.881334,5.701057,2.092486,0.356514,7.881236,6.936090
cuda,T5Small,4,22.043926,18.590184,8.550333,2.639673,12.747606,5.628747,2.093349,0.358371,7.770169,6.972437
cuda,TrOCRForCausalLM,32,18.957180,15.547571,7.096450,2.065175,10.562126,4.455206,1.869422,0.342074,1.354252,5.643716
cuda,XGLMForCausalLM,8,38.400933,31.236959,13.243863,5.659174,20.419362,9.364087,3.961047,1.077307,32.227149,13.083836
cuda,XLNetLMHeadModel,8,51.323584,43.174083,18.926395,7.313198,24.797231,14.384361,4.305542,1.046686,10.457432,13.961894
cuda,YituTechConvBert,16,29.779486,24.580715,10.419582,4.216264,16.294119,6.871498,2.891183,0.593087,8.693589,10.272065
