dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,27.089148,24.398416,21.227364,13.474146,1.905134,24.977732,3.023481,1.561049,0.155486,7.399173,13.801514
cuda,AlbertForQuestionAnswering,4,25.491029,22.994994,19.804795,12.139198,2.263930,22.242893,2.996289,1.542029,0.153988,3.656523,12.525650
cuda,AllenaiLongformerBase,4,86.286660,74.837755,71.192183,45.529540,8.770633,61.059018,22.265343,7.648374,0.439734,5.501562,25.228890
cuda,BartForCausalLM,4,31.081155,24.713726,21.448536,13.397254,2.164630,20.695694,3.821826,2.394582,0.220541,2.840605,9.655268
cuda,BartForConditionalGeneration,2,54.513139,41.834903,38.881882,17.657350,5.791152,26.066039,10.113585,4.874410,1.300235,0.412158,14.709014
cuda,BertForMaskedLM,16,30.546637,24.583263,21.041092,11.931648,2.234899,20.292879,4.158776,2.000122,0.313453,6.840893,10.788158
cuda,BertForQuestionAnswering,16,30.603640,24.007150,20.510768,11.629096,2.236549,18.601886,3.848108,1.954998,0.308665,6.426233,9.396441
cuda,BlenderbotForCausalLM,4,42.781235,31.662298,28.585701,12.812172,4.322711,22.411822,6.670065,4.302542,0.440009,7.739636,14.292926
cuda,BlenderbotSmallForCausalLM,64,22.645744,18.226129,14.590894,9.041742,1.293055,16.837345,2.349902,1.430705,0.144233,3.235344,9.217271
cuda,BlenderbotSmallForConditionalGeneration,64,37.566360,29.778844,26.476045,12.802601,3.652171,19.485075,6.150113,3.223819,0.657319,2.298263,10.634147
cuda,CamemBert,16,30.015010,24.108423,20.593034,11.597071,2.225451,17.998140,3.630154,2.278796,0.311241,5.539334,9.084589
cuda,DebertaForMaskedLM,4,33.611621,26.798997,23.278726,15.783155,2.022358,26.218242,4.403901,2.482967,0.295210,3.379397,12.726870
