dev,suite,name,start_latency,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,torchbench,timm_efficientdet,106.6463,128,1.0,1.0,1187.0,1188.0,0.9992,0.3756
cuda,huggingface,MobileBertForMaskedLM,67.2705,16,1.0,1.0,1635.0,1635.0,1.0,0.9992
cuda,huggingface,MobileBertForQuestionAnswering,67.2157,32,1.0,1.0,1619.0,1619.0,1.0,0.9992
cuda,timm_models,nasnetalarge,29.7024,16,1.0,1.0,1530.0,1530.0,1.0,0.9995
cuda,timm_models,pnasnet5large,22.6543,16,1.0,1.0,1153.0,1153.0,1.0,0.9994
cuda,timm_models,hrnet_w18,18.8472,128,1.0,1.0,1471.0,1471.0,1.0,0.9997
cuda,timm_models,dpn107,17.2087,64,1.0,1.0,993.0,993.0,1.0,0.9986
cuda,huggingface,MegatronBertForCausalLM,16.6095,8,1.0,1.0,785.0,785.0,1.0,0.9988
cuda,huggingface,MegatronBertForQuestionAnswering,16.4775,8,1.0,1.0,787.0,787.0,1.0,0.9986
cuda,timm_models,tf_mixnet_l,16.2216,128,1.0,1.0,489.0,489.0,1.0,0.9987
cuda,torchbench,yolov3,15.891,16,5.0,3.0,325.0,326.0,0.9969,0.997
cuda,huggingface,XLNetLMHeadModel,14.6571,8,1.0,1.0,975.0,975.0,1.0,0.9992
cuda,torchbench,vision_maskrcnn,14.1472,4,245.0,265.0,3874.0,12019.0,0.3223,0.4607
cuda,huggingface,MT5ForConditionalGeneration,13.3277,4,1.0,1.0,1240.0,1240.0,1.0,0.9988
cuda,timm_models,mixnet_l,12.5162,128,1.0,1.0,474.0,474.0,1.0,0.9987
cuda,torchbench,timm_regnet,11.1633,32,1.0,1.0,447.0,447.0,1.0,0.999
cuda,huggingface,MBartForConditionalGeneration,10.481,8,1.0,1.0,1325.0,1325.0,1.0,0.9992
cuda,huggingface,BartForConditionalGeneration,10.2901,2,1.0,1.0,1306.0,1306.0,1.0,0.9991
cuda,torchbench,maml,10.0253,1,23.0,23.0,753.0,1200.0,0.6275,0.5762
cuda,timm_models,swin_base_patch4_window7_224,9.9386,64,2.0,2.0,1421.0,1427.0,0.9958,0.9283
cuda,torchbench,hf_Longformer,9.861,1,4.0,4.0,3261.0,3264.0,0.9991,0.9945
cuda,huggingface,AllenaiLongformerBase,9.6473,1,4.0,4.0,3279.0,3281.0,0.9994,0.9951
cuda,timm_models,dm_nfnet_f0,9.5877,128,1.0,1.0,590.0,590.0,1.0,0.998
cuda,torchbench,timm_nfnet,9.4685,128,1.0,1.0,590.0,590.0,1.0,0.9988
cuda,timm_models,fbnetv3_b,9.4142,128,1.0,1.0,456.0,456.0,1.0,0.998
cuda,timm_models,gluon_senet154,9.3148,64,1.0,1.0,979.0,979.0,1.0,0.9994
cuda,huggingface,YituTechConvBert,8.3654,1,1.0,1.0,642.0,642.0,1.0,0.9985
cuda,timm_models,resnest101e,7.8897,64,1.0,1.0,1003.0,1003.0,1.0,0.9993
cuda,torchbench,hf_BigBird,7.7385,1,64.0,75.0,5441.0,5528.0,0.9843,0.97
cuda,huggingface,BigBird,7.7272,1,64.0,75.0,5452.0,5540.0,0.9841,0.9712
cuda,huggingface,T5ForConditionalGeneration,7.7014,4,1.0,1.0,866.0,866.0,1.0,0.9987
cuda,huggingface,T5Small,7.5321,1,1.0,1.0,864.0,864.0,1.0,0.9981
cuda,huggingface,GPTNeoForSequenceClassification,7.4606,4,2.0,2.0,1273.0,1274.0,0.9992,0.9996
cuda,huggingface,GPTNeoForCausalLM,7.426,4,1.0,1.0,1271.0,1271.0,1.0,0.9996
cuda,torchbench,hf_T5,7.3169,1,1.0,1.0,860.0,860.0,1.0,0.9985
cuda,timm_models,densenet121,6.6652,128,13.0,13.0,565.0,575.0,0.9826,0.9958
cuda,timm_models,cspdarknet53,6.5826,64,1.0,1.0,305.0,305.0,1.0,0.9978
cuda,huggingface,PegasusForConditionalGeneration,6.4124,8,7.0,7.0,1259.0,1262.0,0.9976,0.9977
cuda,huggingface,M2M100ForConditionalGeneration,6.3188,4,7.0,7.0,1280.0,1282.0,0.9984,0.998
cuda,huggingface,DebertaV2ForMaskedLM,6.2526,4,163.0,99.0,948.0,1028.0,0.9222,0.785
cuda,huggingface,XGLMForCausalLM,6.2347,4,4.0,4.0,998.0,999.0,0.999,0.9978
cuda,huggingface,DebertaV2ForQuestionAnswering,6.2121,4,163.0,99.0,961.0,1042.0,0.9223,0.7856
cuda,timm_models,nfnet_l0,5.8281,128,1.0,1.0,521.0,521.0,1.0,0.9988
cuda,timm_models,legacy_senet154,5.6955,64,1.0,1.0,979.0,979.0,1.0,0.9994
cuda,timm_models,poolformer_m36,5.6457,64,1.0,1.0,617.0,617.0,1.0,0.9988
cuda,timm_models,res2net101_26w_4s,5.6154,128,1.0,1.0,842.0,842.0,1.0,0.9992
cuda,huggingface,BlenderbotSmallForConditionalGeneration,5.4686,64,1.0,1.0,866.0,866.0,1.0,0.9987
cuda,huggingface,LayoutLMForMaskedLM,5.4094,16,1.0,1.0,458.0,459.0,0.9978,0.998
cuda,timm_models,gernet_l,5.2959,128,1.0,1.0,246.0,246.0,1.0,0.9979
cuda,huggingface,LayoutLMForSequenceClassification,5.236,16,2.0,2.0,454.0,454.0,1.0,0.9972
cuda,huggingface,ElectraForQuestionAnswering,5.1814,64,1.0,1.0,411.0,411.0,1.0,0.9978
cuda,huggingface,ElectraForCausalLM,5.172,32,1.0,1.0,420.0,420.0,1.0,0.9975
cuda,huggingface,RobertaForQuestionAnswering,5.1433,64,1.0,1.0,401.0,401.0,1.0,0.9975
cuda,huggingface,BertForQuestionAnswering,5.1394,64,1.0,1.0,398.0,398.0,1.0,0.9973
cuda,huggingface,RobertaForCausalLM,5.1322,64,1.0,1.0,417.0,417.0,1.0,0.9974
cuda,huggingface,BertForMaskedLM,5.1229,64,1.0,1.0,398.0,398.0,1.0,0.9974
cuda,timm_models,repvgg_a2,5.1214,128,1.0,1.0,231.0,231.0,1.0,0.9977
cuda,torchbench,detectron2_maskrcnn,5.0407,2,123.0,120.0,1214.0,1752.0,0.6929,0.7073
cuda,huggingface,CamemBert,5.0248,1,1.0,1.0,410.0,410.0,1.0,0.9976
