dev,name,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,AlbertForMaskedLM,4,1,1,478,478,1.0000,0.9981,1.9596
cuda,AlbertForQuestionAnswering,4,1,1,475,475,1.0000,0.9979,1.9552
cuda,AllenaiLongformerBase,1,4,4,3319,3321,0.9994,0.9957,9.1004
cuda,BartForCausalLM,8,1,1,516,516,1.0000,0.9986,2.5236
cuda,BartForConditionalGeneration,2,1,1,1309,1309,1.0000,0.9991,9.7753
cuda,BertForMaskedLM,64,1,1,395,395,1.0000,0.9977,4.8036
cuda,BertForQuestionAnswering,64,1,1,414,414,1.0000,0.9982,4.7989
cuda,BigBird,1,64,75,5472,5544,0.9870,0.9722,7.5467
cuda,BlenderbotSmallForCausalLM,64,1,1,342,342,1.0000,0.9977,1.4740
cuda,BlenderbotSmallForConditionalGeneration,64,1,1,883,883,1.0000,0.9987,5.2414
cuda,CamemBert,1,1,1,418,418,1.0000,0.9973,4.7703
cuda,DebertaForMaskedLM,16,111,51,788,825,0.9552,0.7677,3.4478
cuda,DebertaForQuestionAnswering,16,111,51,795,826,0.9625,0.7726,3.3456
cuda,DebertaV2ForMaskedLM,4,163,99,915,990,0.9242,0.7742,6.3969
cuda,DebertaV2ForQuestionAnswering,4,163,99,921,983,0.9369,0.7793,6.4234
cuda,DistilBertForMaskedLM,32,1,1,227,227,1.0000,0.9970,1.1311
cuda,DistilBertForQuestionAnswering,32,1,1,233,233,1.0000,0.9966,1.0925
cuda,DistillGPT2,1,1,1,384,384,1.0000,0.9965,1.6245
cuda,ElectraForCausalLM,32,1,1,388,388,1.0000,0.9963,4.9727
cuda,ElectraForQuestionAnswering,64,1,1,386,386,1.0000,0.9972,4.9217
cuda,GPT2ForSequenceClassification,4,2,2,732,732,1.0000,0.9987,4.2407
cuda,GPTNeoForCausalLM,4,1,1,1199,1199,1.0000,0.9996,7.2548
cuda,GPTNeoForSequenceClassification,4,2,2,1198,1198,1.0000,0.9994,7.2747
cuda,GoogleFnet,1,27,27,239,276,0.8659,0.8219,0.9483
cuda,LayoutLMForMaskedLM,16,1,1,456,456,1.0000,0.9975,5.1294
cuda,LayoutLMForSequenceClassification,16,2,2,454,455,0.9978,0.9965,5.0322
cuda,M2M100ForConditionalGeneration,4,7,7,1333,1336,0.9978,0.9976,5.8174
cuda,MBartForCausalLM,16,1,1,504,504,1.0000,0.9984,2.4773
cuda,MBartForConditionalGeneration,8,1,1,1287,1287,1.0000,0.9992,10.0698
cuda,MT5ForConditionalGeneration,4,1,1,1242,1242,1.0000,0.9990,12.5758
cuda,MegatronBertForCausalLM,8,1,1,782,782,1.0000,0.9984,15.6992
cuda,MegatronBertForQuestionAnswering,8,1,1,770,770,1.0000,0.9985,15.6011
cuda,MobileBertForMaskedLM,16,1,1,1637,1637,1.0000,0.9991,62.8098
cuda,MobileBertForQuestionAnswering,32,1,1,1663,1663,1.0000,0.9993,62.8829
cuda,OPTForCausalLM,16,1,1,593,593,1.0000,0.9983,2.5615
cuda,PLBartForCausalLM,16,1,1,272,272,1.0000,0.9976,1.2002
cuda,PLBartForConditionalGeneration,8,1,1,682,682,1.0000,0.9985,3.5465
cuda,PegasusForCausalLM,16,4,4,511,512,0.9980,0.9970,2.3318
cuda,PegasusForConditionalGeneration,8,7,7,1322,1324,0.9985,0.9981,5.9743
cuda,RobertaForCausalLM,64,1,1,422,422,1.0000,0.9977,4.8163
cuda,RobertaForQuestionAnswering,64,1,1,414,414,1.0000,0.9976,4.8715
cuda,Speech2Text2ForCausalLM,64,4,4,286,286,1.0000,0.9980,1.1738
cuda,T5ForConditionalGeneration,4,1,1,860,860,1.0000,0.9988,7.3379
cuda,T5Small,1,1,1,868,868,1.0000,0.9983,7.1421
cuda,TrOCRForCausalLM,16,1,1,491,491,1.0000,0.9983,2.4313
cuda,XGLMForCausalLM,4,4,4,1005,1005,1.0000,0.9978,5.9467
cuda,XLNetLMHeadModel,8,1,1,965,965,1.0000,0.9994,13.8256
cuda,YituTechConvBert,1,1,1,641,641,1.0000,0.9985,7.8844
