dev,suite,name,graphs,batch_size,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,torchbench,vision_maskrcnn,246.0,4,266.0,3939.0,12104.0,0.3254,0.4714,13.9806
cuda,huggingface,DebertaV2ForQuestionAnswering,163.0,4,99.0,960.0,1048.0,0.916,0.7826,6.1496
cuda,huggingface,DebertaV2ForMaskedLM,163.0,4,99.0,961.0,1030.0,0.933,0.7853,6.2081
cuda,torchbench,detectron2_maskrcnn,122.0,2,120.0,1224.0,1758.0,0.6962,0.7005,5.0798
cuda,huggingface,DebertaForQuestionAnswering,111.0,16,51.0,787.0,828.0,0.9505,0.7765,3.4205
cuda,huggingface,DebertaForMaskedLM,111.0,16,51.0,781.0,819.0,0.9536,0.7676,3.4757
cuda,huggingface,BigBird,64.0,1,75.0,5429.0,5501.0,0.9869,0.9716,7.5642
cuda,torchbench,hf_BigBird,64.0,1,75.0,5436.0,5508.0,0.9869,0.9699,7.491
cuda,timm_models,crossvit_9_240,27.0,64,27.0,539.0,628.0,0.8583,0.9399,1.9234
cuda,huggingface,GoogleFnet,27.0,1,27.0,239.0,282.0,0.8475,0.8248,0.9866
cuda,timm_models,convit_base,26.0,64,26.0,375.0,528.0,0.7102,0.66,0.7804
cuda,torchbench,maml,23.0,1,23.0,749.0,1188.0,0.6305,0.5516,9.73
cuda,timm_models,densenet121,13.0,128,13.0,565.0,571.0,0.9895,0.9961,6.4157
cuda,torchbench,moco,11.0,32,7.0,0.0,-5.0,0.0,0.0,2.0857
cuda,huggingface,M2M100ForConditionalGeneration,7.0,4,7.0,1315.0,1316.0,0.9992,0.9974,5.7923
cuda,torchbench,hf_Reformer,7.0,1,7.0,639.0,652.0,0.9801,0.9885,2.8245
cuda,huggingface,PegasusForConditionalGeneration,7.0,8,7.0,1309.0,1312.0,0.9977,0.9979,6.026
cuda,torchbench,fastNLP_Bert,6.0,1,6.0,480.0,554.0,0.8664,0.9063,4.2754
cuda,torchbench,yolov3,5.0,16,3.0,326.0,327.0,0.9969,0.9967,15.2256
cuda,torchbench,tts_angular,4.0,64,4.0,22.0,30.0,0.7333,0.8488,0.4378
cuda,huggingface,AllenaiLongformerBase,4.0,1,4.0,3271.0,3272.0,0.9997,0.9934,9.2221
cuda,torchbench,speech_transformer,4.0,1,4.0,1104.0,1212.0,0.9109,0.9321,2.9071
cuda,huggingface,XGLMForCausalLM,4.0,4,4.0,989.0,989.0,1.0,0.9973,5.9395
cuda,torchbench,hf_Longformer,4.0,1,4.0,3224.0,3227.0,0.9991,0.9951,9.4035
cuda,huggingface,Speech2Text2ForCausalLM,4.0,64,4.0,282.0,282.0,1.0,0.9975,1.1794
cuda,huggingface,PegasusForCausalLM,4.0,16,4.0,500.0,501.0,0.998,0.9966,2.3587
cuda,huggingface,GPTNeoForSequenceClassification,2.0,4,2.0,1269.0,1269.0,1.0,0.9994,7.2069
cuda,huggingface,LayoutLMForSequenceClassification,2.0,16,2.0,452.0,452.0,1.0,0.996,4.9491
cuda,huggingface,GPT2ForSequenceClassification,2.0,4,2.0,737.0,737.0,1.0,0.9984,4.2345
cuda,torchbench,tacotron2,0.0,0,,,,,,
cuda,torchbench,pyhpc_isoneutral_mixing,0.0,0,,,,,,
cuda,torchbench,fambench_xlmr,0.0,0,,,,,,
cuda,torchbench,dlrm,0.0,0,,,,,,
cuda,torchbench,Super_SloMo,0.0,0,,,,,,
