dev,suite,name,start_latency,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,torchbench,timm_efficientdet,101.447,128,1.0,1.0,1191.0,1192.0,0.9992,0.3628
cuda,huggingface,MobileBertForMaskedLM,63.3031,16,1.0,1.0,1644.0,1644.0,1.0,0.9991
cuda,huggingface,MobileBertForQuestionAnswering,63.2697,32,1.0,1.0,1653.0,1653.0,1.0,0.9991
cuda,timm_models,nasnetalarge,27.8158,16,1.0,1.0,1530.0,1530.0,1.0,0.9995
cuda,timm_models,pnasnet5large,21.3789,16,1.0,1.0,1153.0,1153.0,1.0,0.9994
cuda,timm_models,hrnet_w18,18.0711,128,1.0,1.0,1471.0,1471.0,1.0,0.9996
cuda,timm_models,dpn107,16.2717,64,1.0,1.0,980.0,980.0,1.0,0.9989
cuda,huggingface,MegatronBertForCausalLM,15.5451,8,1.0,1.0,784.0,784.0,1.0,0.9983
cuda,timm_models,tf_mixnet_l,15.4781,128,1.0,1.0,489.0,489.0,1.0,0.9985
cuda,huggingface,MegatronBertForQuestionAnswering,15.4634,8,1.0,1.0,777.0,777.0,1.0,0.9983
cuda,torchbench,yolov3,15.2256,16,5.0,3.0,326.0,327.0,0.9969,0.9967
cuda,torchbench,vision_maskrcnn,13.9806,4,246.0,266.0,3939.0,12104.0,0.3254,0.4714
cuda,huggingface,XLNetLMHeadModel,13.8654,8,1.0,1.0,964.0,964.0,1.0,0.9993
cuda,huggingface,MT5ForConditionalGeneration,12.6321,4,1.0,1.0,1242.0,1242.0,1.0,0.9986
cuda,timm_models,mixnet_l,11.9147,128,1.0,1.0,474.0,474.0,1.0,0.9985
cuda,torchbench,timm_regnet,10.6791,32,1.0,1.0,447.0,447.0,1.0,0.9983
cuda,huggingface,MBartForConditionalGeneration,9.9505,8,1.0,1.0,1319.0,1319.0,1.0,0.999
cuda,huggingface,BartForConditionalGeneration,9.7999,2,1.0,1.0,1303.0,1303.0,1.0,0.9988
cuda,torchbench,maml,9.73,1,23.0,23.0,749.0,1188.0,0.6305,0.5516
cuda,timm_models,swin_base_patch4_window7_224,9.5797,64,1.0,1.0,1402.0,1402.0,1.0,0.9987
